id,name,forte,orientation,chirality,bit,bitReverse,pitchSet,intervalCycle,intervalVector,maxCyclicGap,ianMainIndexAdmissible,registeredBeforeCompletion,addedByCompletion,role,fineRole,tier,office,officeIndex,universalClassification,relationalOffice,pluralityContactOffice,zPartner,sourceProvenance
127,7-1 terminal cluster state 127,7-1,7-1 single orientation,achiral,b111111100000,b000001111111,"{0,1,2,3,4,5,6}",1-1-1-1-1-1-6,"6,5,4,3,2,1",6,false,false,true,anchor,terminal_anchor_D7,D7,Jupiter,4,terminal_anchor,,,,Independent enumeration of rooted seven-note subsets of Z12
2111,7-1 terminal cluster state 2111,7-1,7-1 single orientation,achiral,b111111000001,b100000111111,"{0,1,2,3,4,5,11}",1-1-1-1-1-6-1,"6,5,4,3,2,1",6,false,false,true,anchor,terminal_anchor_D7,D7,Saturn,6,terminal_anchor,,,,Independent enumeration of rooted seven-note subsets of Z12
3103,7-1 terminal cluster state 3103,7-1,7-1 single orientation,achiral,b111110000011,b110000011111,"{0,1,2,3,4,10,11}",1-1-1-1-6-1-1,"6,5,4,3,2,1",6,false,false,true,anchor,terminal_anchor_D7,D7,Moon,1,terminal_anchor,,,,Independent enumeration of rooted seven-note subsets of Z12
3599,7-1 terminal cluster state 3599,7-1,7-1 single orientation,achiral,b111100000111,b111000001111,"{0,1,2,3,9,10,11}",1-1-1-6-1-1-1,"6,5,4,3,2,1",6,false,false,true,anchor,terminal_anchor_D7,D7,Mercury,3,terminal_anchor,,,,Independent enumeration of rooted seven-note subsets of Z12
3847,7-1 terminal cluster state 3847,7-1,7-1 single orientation,achiral,b111000001111,b111100000111,"{0,1,2,8,9,10,11}",1-1-6-1-1-1-1,"6,5,4,3,2,1",6,false,false,true,anchor,terminal_anchor_D7,D7,Venus,5,terminal_anchor,,,,Independent enumeration of rooted seven-note subsets of Z12
3971,7-1 terminal cluster state 3971,7-1,7-1 single orientation,achiral,b110000011111,b111110000011,"{0,1,7,8,9,10,11}",1-6-1-1-1-1-1,"6,5,4,3,2,1",6,false,false,true,anchor,terminal_anchor_D7,D7,Sun,0,terminal_anchor,,,,Independent enumeration of rooted seven-note subsets of Z12
4033,7-1 terminal cluster state 4033,7-1,7-1 single orientation,achiral,b100000111111,b111111000001,"{0,6,7,8,9,10,11}",6-1-1-1-1-1-1,"6,5,4,3,2,1",6,false,false,true,anchor,terminal_anchor_D7,D7,Mars,2,terminal_anchor,,,,Independent enumeration of rooted seven-note subsets of Z12
191,Ultra-Alt 67,7-2,7-2 orientation A,chiral,b111111010000,b000010111111,"{0,1,2,3,4,5,7}",1-1-1-1-1-2-5,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Jupiter,4,d6_satellite,,,,Preserved A0–D6 network state
2017,Dominant +34♯2,7-2,7-2 orientation A,chiral,b100001111110,b011111100001,"{0,5,6,7,8,9,10}",5-1-1-1-1-1-2,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Mars,2,d6_satellite,,,,Preserved A0–D6 network state
2143,Alt ♮734♭56,7-2,7-2 orientation A,chiral,b111110100001,b100001011111,"{0,1,2,3,4,6,11}",1-1-1-1-2-5-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Saturn,6,d6_satellite,,,,Preserved A0–D6 network state
3119,Alt ♮7♯6345,7-2,7-2 orientation A,chiral,b111101000011,b110000101111,"{0,1,2,3,5,10,11}",1-1-1-2-5-1-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Moon,1,d6_satellite,,,,Preserved A0–D6 network state
3607,Alt ♮7♯653,7-2,7-2 orientation A,chiral,b111010000111,b111000010111,"{0,1,2,4,9,10,11}",1-1-2-5-1-1-1,"5,5,4,3,3,1",5,false,true,false,satellite,satellite_D6,D6,Mercury,3,d6_satellite,,,,Preserved A0–D6 network state
