"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"audit:fixed:1119:1367","AUDITED_HAMMING2","scale:1119","scale:1367","1119","1367",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1119:1371","AUDITED_HAMMING2","scale:1119","scale:1371","1119","1371",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1119:1373","AUDITED_HAMMING2","scale:1119","scale:1373","1119","1373",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1135:1387","AUDITED_HAMMING2","scale:1135","scale:1387","1135","1387",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1135:1389","AUDITED_HAMMING2","scale:1135","scale:1389","1135","1389",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1143:1367","AUDITED_HAMMING2","scale:1143","scale:1367","1143","1367",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1143:1397","AUDITED_HAMMING2","scale:1143","scale:1397","1143","1397",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1147:1371","AUDITED_HAMMING2","scale:1147","scale:1371","1147","1371",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1147:1387","AUDITED_HAMMING2","scale:1147","scale:1387","1147","1387",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1149:1373","AUDITED_HAMMING2","scale:1149","scale:1373","1149","1373",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1149:1389","AUDITED_HAMMING2","scale:1149","scale:1389","1149","1389",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1149:1397","AUDITED_HAMMING2","scale:1149","scale:1397","1149","1397",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1199:1451","AUDITED_HAMMING2","scale:1199","scale:1451","1199","1451",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1199:1453","AUDITED_HAMMING2","scale:1199","scale:1453","1199","1453",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1199:1707","AUDITED_HAMMING2","scale:1199","scale:1707","1199","1707",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1199:1709","AUDITED_HAMMING2","scale:1199","scale:1709","1199","1709",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1207:1461","AUDITED_HAMMING2","scale:1207","scale:1461","1207","1461",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1207:1717","AUDITED_HAMMING2","scale:1207","scale:1717","1207","1717",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1211:1451","AUDITED_HAMMING2","scale:1211","scale:1451","1211","1451",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1211:1707","AUDITED_HAMMING2","scale:1211","scale:1707","1211","1707",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1213:1453","AUDITED_HAMMING2","scale:1213","scale:1453","1213","1453",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1213:1461","AUDITED_HAMMING2","scale:1213","scale:1461","1213","1461",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1213:1709","AUDITED_HAMMING2","scale:1213","scale:1709","1213","1709",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1213:1717","AUDITED_HAMMING2","scale:1213","scale:1717","1213","1717",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1239:1367","AUDITED_HAMMING2","scale:1239","scale:1367","1239","1367",false,false,"A2",,,,,,"2",,"fixed",,,,true,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1239:1493","AUDITED_HAMMING2","scale:1239","scale:1493","1239","1493",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1239:1749","AUDITED_HAMMING2","scale:1239","scale:1749","1239","1749",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1243:1371","AUDITED_HAMMING2","scale:1243","scale:1371","1243","1371",false,false,"A1",,,,,,"2",,"fixed",,,,true,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1245:1373","AUDITED_HAMMING2","scale:1245","scale:1373","1245","1373",false,false,"A2",,,,,,"2",,"fixed",,,,true,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1245:1493","AUDITED_HAMMING2","scale:1245","scale:1493","1245","1493",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1245:1749","AUDITED_HAMMING2","scale:1245","scale:1749","1245","1749",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1259:1387","AUDITED_HAMMING2","scale:1259","scale:1387","1259","1387",false,false,"A0",,,,,,"2",,"fixed",,,,true,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1259:1451","AUDITED_HAMMING2","scale:1259","scale:1451","1259","1451",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1259:1707","AUDITED_HAMMING2","scale:1259","scale:1707","1259","1707",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1261:1389","AUDITED_HAMMING2","scale:1261","scale:1389","1261","1389",false,false,"A1",,,,,,"2",,"fixed",,,,true,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1261:1453","AUDITED_HAMMING2","scale:1261","scale:1453","1261","1453",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1261:1709","AUDITED_HAMMING2","scale:1261","scale:1709","1261","1709",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1269:1397","AUDITED_HAMMING2","scale:1269","scale:1397","1269","1397",false,false,"A2",,,,,,"2",,"fixed",,,,true,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1269:1461","AUDITED_HAMMING2","scale:1269","scale:1461","1269","1461",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1269:1493","AUDITED_HAMMING2","scale:1269","scale:1493","1269","1493",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1269:1717","AUDITED_HAMMING2","scale:1269","scale:1717","1269","1717",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1269:1749","AUDITED_HAMMING2","scale:1269","scale:1749","1269","1749",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1311:1367","AUDITED_HAMMING2","scale:1311","scale:1367","1311","1367",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1311:1371","AUDITED_HAMMING2","scale:1311","scale:1371","1311","1371",false,false,"A1",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1311:1373","AUDITED_HAMMING2","scale:1311","scale:1373","1311","1373",false,false,"A2",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
"audit:fixed:1327:1387","AUDITED_HAMMING2","scale:1327","scale:1387","1327","1387",false,false,"A0",,,,,,"2",,"fixed",,,,false,true,,,,,,,,"fixed-tonic one-tone exchange audit"
