"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"belongs:127:7-1","BELONGS_TO_FAMILY","scale:127","family:7-1","127",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:191:7-2","BELONGS_TO_FAMILY","scale:191","family:7-2","191",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:223:7-4","BELONGS_TO_FAMILY","scale:223","family:7-4","223",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:239:7-5","BELONGS_TO_FAMILY","scale:239","family:7-5","239",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:247:7-5","BELONGS_TO_FAMILY","scale:247","family:7-5","247",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:251:7-4","BELONGS_TO_FAMILY","scale:251","family:7-4","251",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:253:7-2","BELONGS_TO_FAMILY","scale:253","family:7-2","253",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:319:7-3","BELONGS_TO_FAMILY","scale:319","family:7-3","319",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:351:7-9","BELONGS_TO_FAMILY","scale:351","family:7-9","351",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:367:7-Z36","BELONGS_TO_FAMILY","scale:367","family:7-Z36","367",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:375:7-13","BELONGS_TO_FAMILY","scale:375","family:7-13","375",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:379:7-11","BELONGS_TO_FAMILY","scale:379","family:7-11","379",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:381:7-8","BELONGS_TO_FAMILY","scale:381","family:7-8","381",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:415:7-6","BELONGS_TO_FAMILY","scale:415","family:7-6","415",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:431:7-14","BELONGS_TO_FAMILY","scale:431","family:7-14","431",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:439:7-Z38","BELONGS_TO_FAMILY","scale:439","family:7-Z38","439",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:443:7-Z37","BELONGS_TO_FAMILY","scale:443","family:7-Z37","443",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:445:7-11","BELONGS_TO_FAMILY","scale:445","family:7-11","445",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:463:7-7","BELONGS_TO_FAMILY","scale:463","family:7-7","463",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:471:7-15","BELONGS_TO_FAMILY","scale:471","family:7-15","471",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:475:7-Z38","BELONGS_TO_FAMILY","scale:475","family:7-Z38","475",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:477:7-13","BELONGS_TO_FAMILY","scale:477","family:7-13","477",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:487:7-7","BELONGS_TO_FAMILY","scale:487","family:7-7","487",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:491:7-14","BELONGS_TO_FAMILY","scale:491","family:7-14","491",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:493:7-Z36","BELONGS_TO_FAMILY","scale:493","family:7-Z36","493",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:499:7-6","BELONGS_TO_FAMILY","scale:499","family:7-6","499",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:501:7-9","BELONGS_TO_FAMILY","scale:501","family:7-9","501",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
"belongs:505:7-3","BELONGS_TO_FAMILY","scale:505","family:7-3","505",,true,false,,,,,,,,,,,,,,,,,,,,,,"Canonical family projection"
