"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"constructs:A1:1371:1367:0","CONSTRUCTS","scale:1371","scale:1367","1371","1367",true,false,"A1","A1",,,"0",,"2","0","single_degree","D3 3→2 (-1)","3","Mars",true,true,,,,,,,,"phase-seam construction"
"constructs:A1:1371:1373:0","CONSTRUCTS","scale:1371","scale:1373","1371","1373",true,false,"A1","A1",,,"0",,"2","4","single_degree","D2 1→2 (+1)","2","Jupiter",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1387:1371:0","CONSTRUCTS","scale:1387","scale:1371","1387","1371",true,false,"A0","A0",,,"0",,"2","0","single_degree","D4 5→4 (-1)","4","Sun",true,true,,,,,,,,"phase-seam construction"
"constructs:A0:1387:1389:0","CONSTRUCTS","scale:1387","scale:1389","1387","1389",true,false,"A0","A0",,,"0",,"2","4","single_degree","D2 1→2 (+1)","2","Jupiter",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1389:1373:0","CONSTRUCTS","scale:1389","scale:1373","1389","1373",true,false,"A1","A1",,,"0",,"2","4","single_degree","D4 5→4 (-1)","4","Sun",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1389:1397:0","CONSTRUCTS","scale:1389","scale:1397","1389","1397",true,false,"A1","A1",,,"0",,"2","4","single_degree","D3 3→4 (+1)","3","Mars",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1451:1707:0","CONSTRUCTS","scale:1451","scale:1707","1451","1707",true,false,"A0","A0",,,"0",,"2","4","single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1451:2901:-1","CONSTRUCTS","scale:1451","scale:2901","1451","2901",true,false,"A0","A0",,,"-1",,"2","0","root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"phase-seam construction"
"constructs:A0:1453:1389:0","CONSTRUCTS","scale:1453","scale:1389","1453","1389",true,false,"A0","A0",,,"0",,"2","4","single_degree","D5 7→6 (-1)","5","Venus",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1453:1461:0","CONSTRUCTS","scale:1453","scale:1461","1453","1461",true,false,"A0","A0",,,"0",,"2","4","single_degree","D3 3→4 (+1)","3","Mars",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1461:1397:0","CONSTRUCTS","scale:1461","scale:1397","1461","1397",true,false,"A1","A1",,,"0",,"2","4","single_degree","D5 7→6 (-1)","5","Venus",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1461:1493:0","CONSTRUCTS","scale:1461","scale:1493","1461","1493",true,false,"A1","A1",,,"0",,"2","4","single_degree","D4 5→6 (+1)","4","Sun",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1707:2731:0","CONSTRUCTS","scale:1707","scale:2731","1707","2731",true,false,"A1","A1",,,"0",,"2","4","single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1707:3413:-1","CONSTRUCTS","scale:1707","scale:3413","1707","3413",true,false,"A1","A1",,,"-1",,"2","0","root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"phase-seam construction"
"constructs:A0:1709:1707:0","CONSTRUCTS","scale:1709","scale:1707","1709","1707",true,false,"A0","A0",,,"0",,"2","4","single_degree","D2 2→1 (-1)","2","Jupiter",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1709:2733:0","CONSTRUCTS","scale:1709","scale:2733","1709","2733",true,false,"A0","A0",,,"0",,"2","4","single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1717:1461:0","CONSTRUCTS","scale:1717","scale:1461","1717","1461",true,false,"A0","A0",,,"0",,"2","4","single_degree","D6 9→8 (-1)","6","Mercury",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1717:1749:0","CONSTRUCTS","scale:1717","scale:1749","1717","1749",true,false,"A0","A0",,,"0",,"2","4","single_degree","D4 5→6 (+1)","4","Sun",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1749:1493:0","CONSTRUCTS","scale:1749","scale:1493","1749","1493",true,false,"A1","A1",,,"0",,"2","4","single_degree","D6 9→8 (-1)","6","Mercury",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1749:1877:0","CONSTRUCTS","scale:1749","scale:1877","1749","1877",true,false,"A1","A1",,,"0",,"2","4","single_degree","D5 7→8 (+1)","5","Venus",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:2733:1367:1","CONSTRUCTS","scale:2733","scale:1367","2733","1367",true,false,"A1","A1",,,"1",,"2","0","root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"phase-seam construction"
"constructs:A1:2733:2731:0","CONSTRUCTS","scale:2733","scale:2731","2733","2731",true,false,"A1","A1",,,"0",,"2","4","single_degree","D2 2→1 (-1)","2","Jupiter",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:2741:1371:1","CONSTRUCTS","scale:2741","scale:1371","2741","1371",true,false,"A0","A0",,,"1",,"2","0","root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"phase-seam construction"
"constructs:A0:2741:2733:0","CONSTRUCTS","scale:2741","scale:2733","2741","2733",true,false,"A0","A0",,,"0",,"2","4","single_degree","D3 4→3 (-1)","3","Mars",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:2773:1749:0","CONSTRUCTS","scale:2773","scale:1749","2773","1749",true,false,"A0","A0",,,"0",,"2","4","single_degree","D7 11→10 (-1)","7","Moon",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:2773:2901:0","CONSTRUCTS","scale:2773","scale:2901","2773","2901",true,false,"A0","A0",,,"0",,"2","0","single_degree","D5 7→8 (+1)","5","Venus",true,true,,,,,,,,"phase-seam construction"
"constructs:A1:2901:1877:0","CONSTRUCTS","scale:2901","scale:1877","2901","1877",true,false,"A1","A1",,,"0",,"2","4","single_degree","D7 11→10 (-1)","7","Moon",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:2901:3413:0","CONSTRUCTS","scale:2901","scale:3413","2901","3413",true,false,"A1","A1",,,"0",,"2","0","single_degree","D6 9→10 (+1)","6","Mercury",true,true,,,,,,,,"phase-seam construction"
