"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"boundary-contact:oriented_convergence:191:223:0","CONVERGENCE_CONTACT","scale:191","scale:223","191","223",true,false,"UNIVERSAL","boundary","D6","Jupiter","0",,"2",,"single_degree","5→6","6","Mercury",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:445:223:1","CONVERGENCE_CONTACT","scale:445","scale:223","445","223",true,false,"UNIVERSAL","boundary","D3","Jupiter","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:253:251:0","CONVERGENCE_CONTACT","scale:253","scale:251","253","251",true,false,"UNIVERSAL","boundary","D6","Jupiter","0",,"2",,"single_degree","2→1","2","Jupiter",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:379:251:0","CONVERGENCE_CONTACT","scale:379","scale:251","379","251",true,false,"UNIVERSAL","boundary","D3","Jupiter","0",,"2",,"single_degree","8→7","7","Moon",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:191:319:0","CONVERGENCE_CONTACT","scale:191","scale:319","191","319",true,false,"UNIVERSAL","boundary","D6","Jupiter","0",,"2",,"single_degree","7→8","7","Moon",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:637:319:1","CONVERGENCE_CONTACT","scale:637","scale:319","637","319",true,false,"UNIVERSAL","boundary","D5","Jupiter","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:415:351:0","CONVERGENCE_CONTACT","scale:415","scale:351","415","351",true,false,"UNIVERSAL","boundary","D5","Saturn","0",,"2",,"single_degree","7→6","6","Mercury",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:607:351:0","CONVERGENCE_CONTACT","scale:607","scale:351","607","351",true,false,"UNIVERSAL","boundary","D5","Saturn","0",,"2",,"single_degree","9→8","7","Moon",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:375:367:0","CONVERGENCE_CONTACT","scale:375","scale:367","375","367",true,false,"UNIVERSAL","boundary","D4","Venus","0",,"2",,"single_degree","4→3","4","Sun",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:oriented_convergence:623:367:0","CONVERGENCE_CONTACT","scale:623","scale:367","623","367",true,false,"UNIVERSAL","boundary","D4","Venus","0",,"2",,"single_degree","9→8","7","Moon",true,true,"oriented_convergence",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
