"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"governs:A2:1367:1239:0","GOVERNS","scale:1367","scale:1239","1367","1239",true,true,"A2","A2",,,"0",,"2",,"single_degree","D6 8→7 (-1)","6","Mercury",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:1335:0","GOVERNS","scale:1367","scale:1335","1367","1335",true,true,"A2","A2",,,"0",,"2",,"single_degree","D5 6→5 (-1)","5","Venus",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:1359:0","GOVERNS","scale:1367","scale:1359","1367","1359",true,true,"A2","A2",,,"0",,"2",,"single_degree","D4 4→3 (-1)","4","Sun",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:1431:0","GOVERNS","scale:1367","scale:1431","1367","1431",true,true,"A2","A2",,,"0",,"2",,"single_degree","D5 6→7 (+1)","5","Venus",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:1623:0","GOVERNS","scale:1367","scale:1623","1367","1623",true,true,"A2","A2",,,"0",,"2",,"single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:2391:0","GOVERNS","scale:1367","scale:2391","1367","2391",true,true,"A2","A2",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A2 eligible relation"
"governs:A1:1371:1243:0","GOVERNS","scale:1371","scale:1243","1371","1243",true,true,"A1","A1",,,"0",,"2",,"single_degree","D6 8→7 (-1)","6","Mercury",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1371:1339:0","GOVERNS","scale:1371","scale:1339","1371","1339",true,true,"A1","A1",,,"0",,"2",,"single_degree","D5 6→5 (-1)","5","Venus",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1371:1627:0","GOVERNS","scale:1371","scale:1627","1371","1627",true,true,"A1","A1",,,"0",,"2",,"single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1371:2395:0","GOVERNS","scale:1371","scale:2395","1371","2395",true,true,"A1","A1",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A1 eligible relation"
