"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"boundary-contact:office_junction:415:431:0","JUNCTION_CONTACT","scale:415","scale:431","415","431",true,false,"UNIVERSAL","boundary","D5","Saturn","0",,"2",,"single_degree","4→5","5","Venus",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:439:431:0","JUNCTION_CONTACT","scale:439","scale:431","439","431",true,false,"UNIVERSAL","boundary","D2","Jupiter","0",,"2",,"single_degree","4→3","4","Sun",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:463:431:0","JUNCTION_CONTACT","scale:463","scale:431","463","431",true,false,"UNIVERSAL","boundary","D2","Jupiter","0",,"2",,"single_degree","6→5","5","Venus",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:687:431:0","JUNCTION_CONTACT","scale:687","scale:431","687","431",true,false,"UNIVERSAL","boundary","A2","Saturn","0",,"2",,"single_degree","9→8","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:861:431:1","JUNCTION_CONTACT","scale:861","scale:431","861","431",true,false,"UNIVERSAL","boundary","A2","Saturn","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:475:491:0","JUNCTION_CONTACT","scale:475","scale:491","475","491",true,false,"UNIVERSAL","boundary","D2","Jupiter","0",,"2",,"single_degree","4→5","4","Sun",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:487:491:0","JUNCTION_CONTACT","scale:487","scale:491","487","491",true,false,"UNIVERSAL","boundary","D2","Jupiter","0",,"2",,"single_degree","2→3","3","Mars",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:499:491:0","JUNCTION_CONTACT","scale:499","scale:491","499","491",true,false,"UNIVERSAL","boundary","D5","Mars","0",,"2",,"single_degree","4→3","3","Mars",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:747:491:0","JUNCTION_CONTACT","scale:747","scale:491","747","491",true,false,"UNIVERSAL","boundary","A2","Mars","0",,"2",,"single_degree","9→8","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:981:491:1","JUNCTION_CONTACT","scale:981","scale:491","981","491",true,false,"UNIVERSAL","boundary","A2","Mars","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:463:719:0","JUNCTION_CONTACT","scale:463","scale:719","463","719",true,false,"UNIVERSAL","boundary","D2","Jupiter","0",,"2",,"single_degree","8→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:687:719:0","JUNCTION_CONTACT","scale:687","scale:719","687","719",true,false,"UNIVERSAL","boundary","A2","Saturn","0",,"2",,"single_degree","5→6","5","Venus",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:727:719:0","JUNCTION_CONTACT","scale:727","scale:719","727","719",true,false,"UNIVERSAL","boundary","A0","Jupiter","0",,"2",,"single_degree","4→3","4","Sun",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1437:719:1","JUNCTION_CONTACT","scale:1437","scale:719","1437","719",true,false,"UNIVERSAL","boundary","A0","Jupiter","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:477:733:0","JUNCTION_CONTACT","scale:477","scale:733","477","733",true,false,"UNIVERSAL","boundary","D4","Mercury","0",,"2",,"single_degree","8→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:731:733:0","JUNCTION_CONTACT","scale:731","scale:733","731","733",true,false,"UNIVERSAL","boundary","A1","Mercury","0",,"2",,"single_degree","1→2","2","Jupiter",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:861:733:0","JUNCTION_CONTACT","scale:861","scale:733","861","733",true,false,"UNIVERSAL","boundary","A2","Saturn","0",,"2",,"single_degree","8→7","6","Mercury",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1245:733:0","JUNCTION_CONTACT","scale:1245","scale:733","1245","733",true,false,"UNIVERSAL","boundary","A2","Saturn","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1465:733:1","JUNCTION_CONTACT","scale:1465","scale:733","1465","733",true,false,"UNIVERSAL","boundary","A1","Mercury","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:375:749:-1","JUNCTION_CONTACT","scale:375","scale:749","375","749",true,false,"UNIVERSAL","boundary","D4","Venus","-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:747:749:0","JUNCTION_CONTACT","scale:747","scale:749","747","749",true,false,"UNIVERSAL","boundary","A2","Mars","0",,"2",,"single_degree","1→2","2","Jupiter",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:877:749:0","JUNCTION_CONTACT","scale:877","scale:749","877","749",true,false,"UNIVERSAL","boundary","A1","Venus","0",,"2",,"single_degree","8→7","6","Mercury",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1261:749:0","JUNCTION_CONTACT","scale:1261","scale:749","1261","749",true,false,"UNIVERSAL","boundary","A1","Venus","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1497:749:1","JUNCTION_CONTACT","scale:1497","scale:749","1497","749",true,false,"UNIVERSAL","boundary","A2","Mars","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:695:823:0","JUNCTION_CONTACT","scale:695","scale:823","695","823",true,false,"UNIVERSAL","boundary","A1","Venus","0",,"2",,"single_degree","7→8","6","Mercury",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:855:823:0","JUNCTION_CONTACT","scale:855","scale:823","855","823",true,false,"UNIVERSAL","boundary","A0","Mercury","0",,"2",,"single_degree","6→5","5","Venus",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1335:823:0","JUNCTION_CONTACT","scale:1335","scale:823","1335","823",true,false,"UNIVERSAL","boundary","A2","Moon","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1645:823:1","JUNCTION_CONTACT","scale:1645","scale:823","1645","823",true,false,"UNIVERSAL","boundary","A0","Mercury","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:699:827:0","JUNCTION_CONTACT","scale:699","scale:827","699","827",true,false,"UNIVERSAL","boundary","A2","Jupiter","0",,"2",,"single_degree","7→8","6","Mercury",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:859:827:0","JUNCTION_CONTACT","scale:859","scale:827","859","827",true,false,"UNIVERSAL","boundary","A0","Mars","0",,"2",,"single_degree","6→5","5","Venus",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1339:827:0","JUNCTION_CONTACT","scale:1339","scale:827","1339","827",true,false,"UNIVERSAL","boundary","A1","Sun","0",,"2",,"single_degree","10→9","7","Moon",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:1653:827:1","JUNCTION_CONTACT","scale:1653","scale:827","1653","827",true,false,"UNIVERSAL","boundary","A0","Mars","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:855:847:0","JUNCTION_CONTACT","scale:855","scale:847","855","847",true,false,"UNIVERSAL","boundary","A0","Mercury","0",,"2",,"single_degree","4→3","4","Sun",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:office_junction:911:847:0","JUNCTION_CONTACT","scale:911","scale:847","911","847",true,false,"UNIVERSAL","boundary","D2","Mercury","0",,"2",,"single_degree","7→6","5","Venus",true,true,"office_junction",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
