"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"boundary-contact:peripheral_leaf:477:239:1","LEAF_CONTACT","scale:477","scale:239","477","239",true,false,"UNIVERSAL","boundary","D4","Mercury","1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:375:247:0","LEAF_CONTACT","scale:375","scale:247","375","247",true,false,"UNIVERSAL","boundary","D4","Venus","0",,"2",,"single_degree","8→7","7","Moon",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:1815:1807:0","LEAF_CONTACT","scale:1815","scale:1807","1815","1807",true,false,"UNIVERSAL","boundary","D4","Jupiter","0",,"2",,"single_degree","4→3","4","Sun",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:1863:1927:0","LEAF_CONTACT","scale:1863","scale:1927","1863","1927",true,false,"UNIVERSAL","boundary","D4","Jupiter","0",,"2",,"single_degree","6→7","4","Sun",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:1143:2167:0","LEAF_CONTACT","scale:1143","scale:2167","1143","2167",true,false,"UNIVERSAL","boundary","D4","Venus","0",,"2",,"single_degree","10→11","7","Moon",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:2235:2171:0","LEAF_CONTACT","scale:2235","scale:2171","2235","2171",true,false,"UNIVERSAL","boundary","D4","Sun","0",,"2",,"single_degree","7→6","6","Mercury",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:2955:2951:0","LEAF_CONTACT","scale:2955","scale:2951","2955","2951",true,false,"UNIVERSAL","boundary","D4","Saturn","0",,"2",,"single_degree","3→2","3","Mars",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:2979:3011:0","LEAF_CONTACT","scale:2979","scale:3011","2979","3011",true,false,"UNIVERSAL","boundary","D4","Saturn","0",,"2",,"single_degree","5→6","3","Mars",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:2619:3131:0","LEAF_CONTACT","scale:2619","scale:3131","2619","3131",true,false,"UNIVERSAL","boundary","D4","Sun","0",,"2",,"single_degree","9→10","6","Mercury",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:3165:3133:0","LEAF_CONTACT","scale:3165","scale:3133","3165","3133",true,false,"UNIVERSAL","boundary","D4","Mars","0",,"2",,"single_degree","6→5","5","Venus",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:3525:3523:0","LEAF_CONTACT","scale:3525","scale:3523","3525","3523",true,false,"UNIVERSAL","boundary","D4","Moon","0",,"2",,"single_degree","2→1","2","Jupiter",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:3537:3553:0","LEAF_CONTACT","scale:3537","scale:3553","3537","3553",true,false,"UNIVERSAL","boundary","D4","Moon","0",,"2",,"single_degree","4→5","2","Jupiter",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:3357:3613:0","LEAF_CONTACT","scale:3357","scale:3613","3357","3613",true,false,"UNIVERSAL","boundary","D4","Mars","0",,"2",,"single_degree","8→9","5","Venus",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
"boundary-contact:peripheral_leaf:1905:3809:-1","LEAF_CONTACT","scale:1905","scale:3809","1905","3809",true,false,"UNIVERSAL","boundary","D4","Mercury","-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,"peripheral_leaf",,,,,,,"Universal boundary-family audit; relation generated from established office-bearing satellite"
