"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"modal:A2:1367:2731","MODAL_SUCCESSOR","scale:1367","scale:2731","1367","2731",true,false,"A2","A2",,,,,,,,,,,true,true,,,,,,,,"7-33 modal orbit"
"modal:A1:1371:2733","MODAL_SUCCESSOR","scale:1371","scale:2733","1371","2733",true,false,"A1","A1",,,,,,,,,,,true,true,,,,,,,,"7-34 modal orbit"
"modal:A2:1373:1367","MODAL_SUCCESSOR","scale:1373","scale:1367","1373","1367",true,false,"A2","A2",,,,,,,,,,,true,true,,,,,,,,"7-33 modal orbit"
"modal:A0:1387:2741","MODAL_SUCCESSOR","scale:1387","scale:2741","1387","2741",true,false,"A0","A0",,,,,,,,,,,true,true,,,,,,,,"7-35 modal orbit"
"modal:A1:1389:1371","MODAL_SUCCESSOR","scale:1389","scale:1371","1389","1371",true,false,"A1","A1",,,,,,,,,,,true,true,,,,,,,,"7-34 modal orbit"
"modal:A2:1397:1373","MODAL_SUCCESSOR","scale:1397","scale:1373","1397","1373",true,false,"A2","A2",,,,,,,,,,,true,true,,,,,,,,"7-33 modal orbit"
"modal:A0:1451:2773","MODAL_SUCCESSOR","scale:1451","scale:2773","1451","2773",true,false,"A0","A0",,,,,,,,,,,true,true,,,,,,,,"7-35 modal orbit"
"modal:A0:1453:1387","MODAL_SUCCESSOR","scale:1453","scale:1387","1453","1387",true,false,"A0","A0",,,,,,,,,,,true,true,,,,,,,,"7-35 modal orbit"
"modal:A1:1461:1389","MODAL_SUCCESSOR","scale:1461","scale:1389","1461","1389",true,false,"A1","A1",,,,,,,,,,,true,true,,,,,,,,"7-34 modal orbit"
"modal:A2:1493:1397","MODAL_SUCCESSOR","scale:1493","scale:1397","1493","1397",true,false,"A2","A2",,,,,,,,,,,true,true,,,,,,,,"7-33 modal orbit"
"modal:A1:1707:2901","MODAL_SUCCESSOR","scale:1707","scale:2901","1707","2901",true,false,"A1","A1",,,,,,,,,,,true,true,,,,,,,,"7-34 modal orbit"
