"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"occupies:127:Jupiter","OCCUPIES_OFFICE","scale:127","office:Jupiter","127",,true,false,"D7","D7",,,,,,,,,,,,,,,,,,true,,"Same-office convergence from exactly two D6 / 7-2 satellites, one from each chiral orientation; no residual children."
"occupies:191:Jupiter","OCCUPIES_OFFICE","scale:191","office:Jupiter","191",,true,false,"D6","D6",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-8 D6 anchor 381; earlier precedence preserved"
"occupies:253:Jupiter","OCCUPIES_OFFICE","scale:253","office:Jupiter","253",,true,false,"D6","D6",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-8 D6 anchor 381; earlier precedence preserved"
"occupies:375:Venus","OCCUPIES_OFFICE","scale:375","office:Venus","375",,true,false,"D4","D4",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z17 D4 anchor 631; earlier precedence preserved"
"occupies:379:Jupiter","OCCUPIES_OFFICE","scale:379","office:Jupiter","379",,true,false,"D3","D3",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z37 D3 anchor 443; earlier precedence preserved"
"occupies:381:Jupiter","OCCUPIES_OFFICE","scale:381","office:Jupiter","381",,true,false,"D6","D6",,,,,,,,,,,,,,,,,,true,,"7-8 same-office convergence from two established D3 and two established D5 satellite contacts"
"occupies:415:Saturn","OCCUPIES_OFFICE","scale:415","office:Saturn","415",,true,false,"D5","D5",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z12 D5 anchor 671; earlier precedence preserved"
"occupies:439:Jupiter","OCCUPIES_OFFICE","scale:439","office:Jupiter","439",,true,false,"D2","D2",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-15 D2 anchor 471; earlier precedence preserved"
"occupies:443:Jupiter","OCCUPIES_OFFICE","scale:443","office:Jupiter","443",,true,false,"D3","D3",,,,,,,,,,,,,,,,,,true,,"7-Z37 dual-tier same-office convergence from two A2 and two D2 satellite contacts"
"occupies:445:Jupiter","OCCUPIES_OFFICE","scale:445","office:Jupiter","445",,true,false,"D3","D3",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z37 D3 anchor 443; earlier precedence preserved"
"occupies:463:Jupiter","OCCUPIES_OFFICE","scale:463","office:Jupiter","463",,true,false,"D2","D2",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-15 D2 anchor 471; earlier precedence preserved"
"occupies:471:Jupiter","OCCUPIES_OFFICE","scale:471","office:Jupiter","471",,true,false,"D2","D2",,,,,,,,,,,,,,,,,,true,,"7-15 same-office convergence from two independently agreeing A0-satellite contacts"
"occupies:475:Jupiter","OCCUPIES_OFFICE","scale:475","office:Jupiter","475",,true,false,"D2","D2",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-15 D2 anchor 471; earlier precedence preserved"
"occupies:477:Mercury","OCCUPIES_OFFICE","scale:477","office:Mercury","477",,true,false,"D4","D4",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z17 D4 anchor 953; earlier precedence preserved"
"occupies:487:Jupiter","OCCUPIES_OFFICE","scale:487","office:Jupiter","487",,true,false,"D2","D2",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-15 D2 anchor 471; earlier precedence preserved"
"occupies:499:Mars","OCCUPIES_OFFICE","scale:499","office:Mars","499",,true,false,"D5","D5",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z12 D5 anchor 997; earlier precedence preserved"
"occupies:607:Saturn","OCCUPIES_OFFICE","scale:607","office:Saturn","607",,true,false,"D5","D5",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z12 D5 anchor 671; earlier precedence preserved"
"occupies:623:Venus","OCCUPIES_OFFICE","scale:623","office:Venus","623",,true,false,"D4","D4",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z17 D4 anchor 631; earlier precedence preserved"
"occupies:631:Venus","OCCUPIES_OFFICE","scale:631","office:Venus","631",,true,false,"D4","D4",,,,,,,,,,,,,,,,,,true,,"7-Z17 same-office convergence from two established A1 satellite contacts"
"occupies:635:Venus","OCCUPIES_OFFICE","scale:635","office:Venus","635",,true,false,"D4","D4",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z17 D4 anchor 631; earlier precedence preserved"
"occupies:637:Jupiter","OCCUPIES_OFFICE","scale:637","office:Jupiter","637",,true,false,"D5","D5",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-Z12 D5 anchor 1273; earlier precedence preserved"
"occupies:671:Saturn","OCCUPIES_OFFICE","scale:671","office:Saturn","671",,true,false,"D5","D5",,,,,,,,,,,,,,,,,,true,,"7-Z12 same-office convergence from two established A2 satellite contacts"
"occupies:687:Saturn","OCCUPIES_OFFICE","scale:687","office:Saturn","687",,true,false,"A2","A2",,,,,,,,,,,,,,,,,,true,,"unique eligible parent at governing tier"
"occupies:695:Venus","OCCUPIES_OFFICE","scale:695","office:Venus","695",,true,false,"A1","A1",,,,,,,,,,,,,,,,,,true,,"unique eligible parent at governing tier"
"occupies:699:Jupiter","OCCUPIES_OFFICE","scale:699","office:Jupiter","699",,true,false,"A2","A2",,,,,,,,,,,,,,,,,,true,,"unique eligible parent at governing tier"
"occupies:727:Jupiter","OCCUPIES_OFFICE","scale:727","office:Jupiter","727",,true,false,"A0","A0",,,,,,,,,,,,,,,,,,true,,"unique eligible parent at governing tier"
"occupies:731:Mercury","OCCUPIES_OFFICE","scale:731","office:Mercury","731",,true,false,"A1","A1",,,,,,,,,,,,,,,,,,true,,"unique eligible parent at governing tier"
"occupies:743:Moon","OCCUPIES_OFFICE","scale:743","office:Moon","743",,true,false,"D1","D1",,,,,,,,,,,,,,,,,,true,,"direct eligible relation to 7-22 D1 anchor 871; A0–A2 precedence preserved"
"occupies:747:Mars","OCCUPIES_OFFICE","scale:747","office:Mars","747",,true,false,"A2","A2",,,,,,,,,,,,,,,,,,true,,"unique eligible parent at governing tier"
