"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"office-evidence:223:Jupiter","RELATIONAL_OFFICE_EVIDENCE","scale:223","office:Jupiter","223",,true,false,,,,"Jupiter",,,,,,,,,,,,"2","oriented_convergence",true,false,false,"{""D3"":1,""D6"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:239:Mercury","RELATIONAL_OFFICE_EVIDENCE","scale:239","office:Mercury","239",,true,false,,,,"Mercury",,,,,,,,,,,,"1","peripheral_leaf",true,false,false,"{""D4"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:247:Venus","RELATIONAL_OFFICE_EVIDENCE","scale:247","office:Venus","247",,true,false,,,,"Venus",,,,,,,,,,,,"1","peripheral_leaf",true,false,false,"{""D4"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:251:Jupiter","RELATIONAL_OFFICE_EVIDENCE","scale:251","office:Jupiter","251",,true,false,,,,"Jupiter",,,,,,,,,,,,"2","oriented_convergence",true,false,false,"{""D3"":1,""D6"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:319:Jupiter","RELATIONAL_OFFICE_EVIDENCE","scale:319","office:Jupiter","319",,true,false,,,,"Jupiter",,,,,,,,,,,,"2","oriented_convergence",true,false,false,"{""D5"":1,""D6"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:351:Saturn","RELATIONAL_OFFICE_EVIDENCE","scale:351","office:Saturn","351",,true,false,,,,"Saturn",,,,,,,,,,,,"2","oriented_convergence",true,false,false,"{""D5"":2}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:367:Venus","RELATIONAL_OFFICE_EVIDENCE","scale:367","office:Venus","367",,true,false,,,,"Venus",,,,,,,,,,,,"2","oriented_convergence",true,false,false,"{""D4"":2}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:431:Jupiter","RELATIONAL_OFFICE_EVIDENCE","scale:431","office:Jupiter","431",,true,false,,,,"Jupiter",,,,,,,,,,,,"2","office_junction",false,false,false,"{""A2"":2,""D2"":2,""D5"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:431:Saturn","RELATIONAL_OFFICE_EVIDENCE","scale:431","office:Saturn","431",,true,false,,,,"Saturn",,,,,,,,,,,,"3","office_junction",false,true,false,"{""A2"":2,""D2"":2,""D5"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:491:Mars","RELATIONAL_OFFICE_EVIDENCE","scale:491","office:Mars","491",,true,false,,,,"Mars",,,,,,,,,,,,"3","office_junction",false,true,false,"{""A2"":2,""D2"":2,""D5"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:491:Jupiter","RELATIONAL_OFFICE_EVIDENCE","scale:491","office:Jupiter","491",,true,false,,,,"Jupiter",,,,,,,,,,,,"2","office_junction",false,false,false,"{""A2"":2,""D2"":2,""D5"":1}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:493:Mercury","RELATIONAL_OFFICE_EVIDENCE","scale:493","office:Mercury","493",,true,false,,,,"Mercury",,,,,,,,,,,,"2","oriented_convergence",true,false,false,"{""D4"":2}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:501:Mars","RELATIONAL_OFFICE_EVIDENCE","scale:501","office:Mars","501",,true,false,,,,"Mars",,,,,,,,,,,,"2","oriented_convergence",true,false,false,"{""D5"":2}","Derived aggregate of canonical non-governing boundary contacts"
"office-evidence:505:Jupiter","RELATIONAL_OFFICE_EVIDENCE","scale:505","office:Jupiter","505",,true,false,,,,"Jupiter",,,,,,,,,,,,"2","oriented_convergence",true,false,false,"{""D5"":1,""D6"":1}","Derived aggregate of canonical non-governing boundary contacts"
