"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"constructs:A1:1371:1367:0","CONSTRUCTS","scale:1371","scale:1367","1371","1367",true,false,"A1","A1",,,"0",,"2","0","single_degree","D3 3→2 (-1)","3","Mars",true,true,,,,,,,,"phase-seam construction"
"constructs:A1:1371:1373:0","CONSTRUCTS","scale:1371","scale:1373","1371","1373",true,false,"A1","A1",,,"0",,"2","4","single_degree","D2 1→2 (+1)","2","Jupiter",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1387:1371:0","CONSTRUCTS","scale:1387","scale:1371","1387","1371",true,false,"A0","A0",,,"0",,"2","0","single_degree","D4 5→4 (-1)","4","Sun",true,true,,,,,,,,"phase-seam construction"
"constructs:A0:1387:1389:0","CONSTRUCTS","scale:1387","scale:1389","1387","1389",true,false,"A0","A0",,,"0",,"2","4","single_degree","D2 1→2 (+1)","2","Jupiter",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1389:1373:0","CONSTRUCTS","scale:1389","scale:1373","1389","1373",true,false,"A1","A1",,,"0",,"2","4","single_degree","D4 5→4 (-1)","4","Sun",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1389:1397:0","CONSTRUCTS","scale:1389","scale:1397","1389","1397",true,false,"A1","A1",,,"0",,"2","4","single_degree","D3 3→4 (+1)","3","Mars",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1451:1707:0","CONSTRUCTS","scale:1451","scale:1707","1451","1707",true,false,"A0","A0",,,"0",,"2","4","single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1451:2901:-1","CONSTRUCTS","scale:1451","scale:2901","1451","2901",true,false,"A0","A0",,,"-1",,"2","0","root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"phase-seam construction"
"constructs:A0:1453:1389:0","CONSTRUCTS","scale:1453","scale:1389","1453","1389",true,false,"A0","A0",,,"0",,"2","4","single_degree","D5 7→6 (-1)","5","Venus",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1453:1461:0","CONSTRUCTS","scale:1453","scale:1461","1453","1461",true,false,"A0","A0",,,"0",,"2","4","single_degree","D3 3→4 (+1)","3","Mars",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1461:1397:0","CONSTRUCTS","scale:1461","scale:1397","1461","1397",true,false,"A1","A1",,,"0",,"2","4","single_degree","D5 7→6 (-1)","5","Venus",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1461:1493:0","CONSTRUCTS","scale:1461","scale:1493","1461","1493",true,false,"A1","A1",,,"0",,"2","4","single_degree","D4 5→6 (+1)","4","Sun",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1707:2731:0","CONSTRUCTS","scale:1707","scale:2731","1707","2731",true,false,"A1","A1",,,"0",,"2","4","single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1707:3413:-1","CONSTRUCTS","scale:1707","scale:3413","1707","3413",true,false,"A1","A1",,,"-1",,"2","0","root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"phase-seam construction"
"constructs:A0:1709:1707:0","CONSTRUCTS","scale:1709","scale:1707","1709","1707",true,false,"A0","A0",,,"0",,"2","4","single_degree","D2 2→1 (-1)","2","Jupiter",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1709:2733:0","CONSTRUCTS","scale:1709","scale:2733","1709","2733",true,false,"A0","A0",,,"0",,"2","4","single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1717:1461:0","CONSTRUCTS","scale:1717","scale:1461","1717","1461",true,false,"A0","A0",,,"0",,"2","4","single_degree","D6 9→8 (-1)","6","Mercury",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:1717:1749:0","CONSTRUCTS","scale:1717","scale:1749","1717","1749",true,false,"A0","A0",,,"0",,"2","4","single_degree","D4 5→6 (+1)","4","Sun",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1749:1493:0","CONSTRUCTS","scale:1749","scale:1493","1749","1493",true,false,"A1","A1",,,"0",,"2","4","single_degree","D6 9→8 (-1)","6","Mercury",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:1749:1877:0","CONSTRUCTS","scale:1749","scale:1877","1749","1877",true,false,"A1","A1",,,"0",,"2","4","single_degree","D5 7→8 (+1)","5","Venus",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:2733:1367:1","CONSTRUCTS","scale:2733","scale:1367","2733","1367",true,false,"A1","A1",,,"1",,"2","0","root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"phase-seam construction"
"constructs:A1:2733:2731:0","CONSTRUCTS","scale:2733","scale:2731","2733","2731",true,false,"A1","A1",,,"0",,"2","4","single_degree","D2 2→1 (-1)","2","Jupiter",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:2741:1371:1","CONSTRUCTS","scale:2741","scale:1371","2741","1371",true,false,"A0","A0",,,"1",,"2","0","root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"phase-seam construction"
"constructs:A0:2741:2733:0","CONSTRUCTS","scale:2741","scale:2733","2741","2733",true,false,"A0","A0",,,"0",,"2","4","single_degree","D3 4→3 (-1)","3","Mars",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:2773:1749:0","CONSTRUCTS","scale:2773","scale:1749","2773","1749",true,false,"A0","A0",,,"0",,"2","4","single_degree","D7 11→10 (-1)","7","Moon",true,true,,,,,,,,"exact midpoint construction"
"constructs:A0:2773:2901:0","CONSTRUCTS","scale:2773","scale:2901","2773","2901",true,false,"A0","A0",,,"0",,"2","0","single_degree","D5 7→8 (+1)","5","Venus",true,true,,,,,,,,"phase-seam construction"
"constructs:A1:2901:1877:0","CONSTRUCTS","scale:2901","scale:1877","2901","1877",true,false,"A1","A1",,,"0",,"2","4","single_degree","D7 11→10 (-1)","7","Moon",true,true,,,,,,,,"exact midpoint construction"
"constructs:A1:2901:3413:0","CONSTRUCTS","scale:2901","scale:3413","2901","3413",true,false,"A1","A1",,,"0",,"2","0","single_degree","D6 9→10 (+1)","6","Mercury",true,true,,,,,,,,"phase-seam construction"
"governs:A2:1367:1239:0","GOVERNS","scale:1367","scale:1239","1367","1239",true,true,"A2","A2",,,"0",,"2",,"single_degree","D6 8→7 (-1)","6","Mercury",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:1335:0","GOVERNS","scale:1367","scale:1335","1367","1335",true,true,"A2","A2",,,"0",,"2",,"single_degree","D5 6→5 (-1)","5","Venus",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:1359:0","GOVERNS","scale:1367","scale:1359","1367","1359",true,true,"A2","A2",,,"0",,"2",,"single_degree","D4 4→3 (-1)","4","Sun",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:1431:0","GOVERNS","scale:1367","scale:1431","1367","1431",true,true,"A2","A2",,,"0",,"2",,"single_degree","D5 6→7 (+1)","5","Venus",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:1623:0","GOVERNS","scale:1367","scale:1623","1367","1623",true,true,"A2","A2",,,"0",,"2",,"single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1367:2391:0","GOVERNS","scale:1367","scale:2391","1367","2391",true,true,"A2","A2",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A2 eligible relation"
"governs:A1:1371:1243:0","GOVERNS","scale:1371","scale:1243","1371","1243",true,true,"A1","A1",,,"0",,"2",,"single_degree","D6 8→7 (-1)","6","Mercury",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1371:1339:0","GOVERNS","scale:1371","scale:1339","1371","1339",true,true,"A1","A1",,,"0",,"2",,"single_degree","D5 6→5 (-1)","5","Venus",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1371:1627:0","GOVERNS","scale:1371","scale:1627","1371","1627",true,true,"A1","A1",,,"0",,"2",,"single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1371:2395:0","GOVERNS","scale:1371","scale:2395","1371","2395",true,true,"A1","A1",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A1 eligible relation"
"governs:A2:1373:1245:0","GOVERNS","scale:1373","scale:1245","1373","1245",true,true,"A2","A2",,,"0",,"2",,"single_degree","D6 8→7 (-1)","6","Mercury",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1373:1341:0","GOVERNS","scale:1373","scale:1341","1373","1341",true,true,"A2","A2",,,"0",,"2",,"single_degree","D5 6→5 (-1)","5","Venus",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1373:1629:0","GOVERNS","scale:1373","scale:1629","1373","1629",true,true,"A2","A2",,,"0",,"2",,"single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1373:2397:0","GOVERNS","scale:1373","scale:2397","1373","2397",true,true,"A2","A2",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1373:687:1","GOVERNS","scale:1373","scale:687","1373","687",true,true,"A2","A2",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1373:861:0","GOVERNS","scale:1373","scale:861","1373","861",true,true,"A2","A2",,,"0",,"2",,"single_degree","D7 10→9 (-1)","7","Moon",true,true,,,,,,,,"A2 eligible relation"
"governs:A0:1387:1259:0","GOVERNS","scale:1387","scale:1259","1387","1259",true,true,"A0","A0",,,"0",,"2",,"single_degree","D6 8→7 (-1)","6","Mercury",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1387:1383:0","GOVERNS","scale:1387","scale:1383","1387","1383",true,true,"A0","A0",,,"0",,"2",,"single_degree","D3 3→2 (-1)","3","Mars",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1387:1395:0","GOVERNS","scale:1387","scale:1395","1387","1395",true,true,"A0","A0",,,"0",,"2",,"single_degree","D3 3→4 (+1)","3","Mars",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1387:1643:0","GOVERNS","scale:1387","scale:1643","1387","1643",true,true,"A0","A0",,,"0",,"2",,"single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1387:2411:0","GOVERNS","scale:1387","scale:2411","1387","2411",true,true,"A0","A0",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1387:875:0","GOVERNS","scale:1387","scale:875","1387","875",true,true,"A0","A0",,,"0",,"2",,"single_degree","D7 10→9 (-1)","7","Moon",true,true,,,,,,,,"A0 eligible relation"
"governs:A1:1389:1261:0","GOVERNS","scale:1389","scale:1261","1389","1261",true,true,"A1","A1",,,"0",,"2",,"single_degree","D6 8→7 (-1)","6","Mercury",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1389:2413:0","GOVERNS","scale:1389","scale:2413","1389","2413",true,true,"A1","A1",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1389:695:1","GOVERNS","scale:1389","scale:695","1389","695",true,true,"A1","A1",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1389:877:0","GOVERNS","scale:1389","scale:877","1389","877",true,true,"A1","A1",,,"0",,"2",,"single_degree","D7 10→9 (-1)","7","Moon",true,true,,,,,,,,"A1 eligible relation"
"governs:A2:1397:1269:0","GOVERNS","scale:1397","scale:1269","1397","1269",true,true,"A2","A2",,,"0",,"2",,"single_degree","D6 8→7 (-1)","6","Mercury",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1397:1401:0","GOVERNS","scale:1397","scale:1401","1397","1401",true,true,"A2","A2",,,"0",,"2",,"single_degree","D2 2→3 (+1)","2","Jupiter",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1397:2421:0","GOVERNS","scale:1397","scale:2421","1397","2421",true,true,"A2","A2",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1397:2793:-1","GOVERNS","scale:1397","scale:2793","1397","2793",true,true,"A2","A2",,,"-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1397:699:1","GOVERNS","scale:1397","scale:699","1397","699",true,true,"A2","A2",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1397:885:0","GOVERNS","scale:1397","scale:885","1397","885",true,true,"A2","A2",,,"0",,"2",,"single_degree","D7 10→9 (-1)","7","Moon",true,true,,,,,,,,"A2 eligible relation"
"governs:A0:1451:1435:0","GOVERNS","scale:1451","scale:1435","1451","1435",true,true,"A0","A0",,,"0",,"2",,"single_degree","D4 5→4 (-1)","4","Sun",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1451:1447:0","GOVERNS","scale:1451","scale:1447","1451","1447",true,true,"A0","A0",,,"0",,"2",,"single_degree","D3 3→2 (-1)","3","Mars",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1451:1459:0","GOVERNS","scale:1451","scale:1459","1451","1459",true,true,"A0","A0",,,"0",,"2",,"single_degree","D3 3→4 (+1)","3","Mars",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1451:1483:0","GOVERNS","scale:1451","scale:1483","1451","1483",true,true,"A0","A0",,,"0",,"2",,"single_degree","D4 5→6 (+1)","4","Sun",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1451:2475:0","GOVERNS","scale:1451","scale:2475","1451","2475",true,true,"A0","A0",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1451:939:0","GOVERNS","scale:1451","scale:939","1451","939",true,true,"A0","A0",,,"0",,"2",,"single_degree","D7 10→9 (-1)","7","Moon",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1453:1437:0","GOVERNS","scale:1453","scale:1437","1453","1437",true,true,"A0","A0",,,"0",,"2",,"single_degree","D4 5→4 (-1)","4","Sun",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1453:1485:0","GOVERNS","scale:1453","scale:1485","1453","1485",true,true,"A0","A0",,,"0",,"2",,"single_degree","D4 5→6 (+1)","4","Sun",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1453:2477:0","GOVERNS","scale:1453","scale:2477","1453","2477",true,true,"A0","A0",,,"0",,"2",,"single_degree","D7 10→11 (+1)","7","Moon",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1453:2905:-1","GOVERNS","scale:1453","scale:2905","1453","2905",true,true,"A0","A0",,,"-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1453:727:1","GOVERNS","scale:1453","scale:727","1453","727",true,true,"A0","A0",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"A0 eligible relation"
"governs:A0:1453:941:0","GOVERNS","scale:1453","scale:941","1453","941",true,true,"A0","A0",,,"0",,"2",,"single_degree","D7 10→9 (-1)","7","Moon",true,true,,,,,,,,"A0 eligible relation"
"governs:A1:1461:1465:0","GOVERNS","scale:1461","scale:1465","1461","1465",true,true,"A1","A1",,,"0",,"2",,"single_degree","D2 2→3 (+1)","2","Jupiter",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1461:2921:-1","GOVERNS","scale:1461","scale:2921","1461","2921",true,true,"A1","A1",,,"-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1461:731:1","GOVERNS","scale:1461","scale:731","1461","731",true,true,"A1","A1",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"A1 eligible relation"
"governs:A1:1461:949:0","GOVERNS","scale:1461","scale:949","1461","949",true,true,"A1","A1",,,"0",,"2",,"single_degree","D7 10→9 (-1)","7","Moon",true,true,,,,,,,,"A1 eligible relation"
"governs:A2:1493:1491:0","GOVERNS","scale:1493","scale:1491","1493","1491",true,true,"A2","A2",,,"0",,"2",,"single_degree","D2 2→1 (-1)","2","Jupiter",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1493:1497:0","GOVERNS","scale:1493","scale:1497","1493","1497",true,true,"A2","A2",,,"0",,"2",,"single_degree","D2 2→3 (+1)","2","Jupiter",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1493:1509:0","GOVERNS","scale:1493","scale:1509","1493","1509",true,true,"A2","A2",,,"0",,"2",,"single_degree","D3 4→5 (+1)","3","Mars",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1493:2985:-1","GOVERNS","scale:1493","scale:2985","1493","2985",true,true,"A2","A2",,,"-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"A2 eligible relation"
"governs:A2:1493:747:1","GOVERNS","scale:1493","scale:747","1493","747",true,true,"A2","A2",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"A2 eligible relation"
