"node_id","forte","state_count","modal_orientation_count","chirality","registered_before_completion","missing_before_completion","z_partner","topology_role","anchor_tier","anchor_count","satellite_count","boundary_count","satellite_tiers_json","boundary_types_json"
"family:7-1","7-1","7","1","achiral","0","7",,"anchor_family","D7","7","0","0","[]","[]"
"family:7-10","7-10","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""D5""]","[]"
"family:7-11","7-11","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""D3""]","[]"
"family:7-13","7-13","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""D4""]","[]"
"family:7-14","7-14","14","2","chiral","14","0",,"boundary_family",,"0","0","14","[]","[""office_junction""]"
"family:7-15","7-15","7","1","achiral","7","0",,"anchor_family","D2","7","0","0","[]","[]"
"family:7-16","7-16","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""D4""]","[]"
"family:7-19","7-19","14","2","chiral","6","8",,"boundary_family",,"0","0","14","[]","[""office_junction""]"
"family:7-2","7-2","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""D6""]","[]"
"family:7-20","7-20","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""D1""]","[]"
"family:7-21","7-21","14","2","chiral","8","6",,"boundary_family",,"0","0","14","[]","[""office_junction""]"
"family:7-22","7-22","7","1","achiral","7","0",,"anchor_family","D1","7","0","0","[]","[]"
"family:7-23","7-23","14","2","chiral","14","0",,"boundary_family",,"0","0","14","[]","[""oriented_convergence""]"
"family:7-24","7-24","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""A2""]","[]"
"family:7-25","7-25","14","2","chiral","12","2",,"boundary_family",,"0","0","14","[]","[""office_junction""]"
"family:7-26","7-26","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""A2""]","[]"
"family:7-27","7-27","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""A1""]","[]"
"family:7-28","7-28","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""A2""]","[]"
"family:7-29","7-29","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""A0""]","[]"
"family:7-3","7-3","14","2","chiral","2","12",,"boundary_family",,"0","0","14","[]","[""oriented_convergence""]"
"family:7-30","7-30","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""A0""]","[]"
"family:7-31","7-31","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""A1""]","[]"
"family:7-32","7-32","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""A0""]","[]"
"family:7-33","7-33","7","1","achiral","7","0",,"anchor_family","A2","7","0","0","[]","[]"
"family:7-34","7-34","7","1","achiral","7","0",,"anchor_family","A1","7","0","0","[]","[]"
"family:7-35","7-35","7","1","achiral","7","0",,"anchor_family","A0","7","0","0","[]","[]"
"family:7-4","7-4","14","2","chiral","4","10",,"boundary_family",,"0","0","14","[]","[""oriented_convergence""]"
"family:7-5","7-5","14","2","chiral","4","10",,"boundary_family",,"0","0","14","[]","[""peripheral_leaf""]"
"family:7-6","7-6","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""D5""]","[]"
"family:7-7","7-7","14","2","chiral","14","0",,"satellite_family",,"0","14","0","[""D2""]","[]"
"family:7-8","7-8","7","1","achiral","7","0",,"anchor_family","D6","7","0","0","[]","[]"
"family:7-9","7-9","14","2","chiral","14","0",,"boundary_family",,"0","0","14","[]","[""oriented_convergence""]"
"family:7-Z12","7-Z12","7","1","achiral","7","0","7-Z36","anchor_family","D5","7","0","0","[]","[]"
"family:7-Z17","7-Z17","7","1","achiral","7","0","7-Z37","anchor_family","D4","7","0","0","[]","[]"
"family:7-Z18","7-Z18","14","2","chiral","6","8","7-Z38","boundary_family",,"0","0","14","[]","[""oriented_convergence""]"
"family:7-Z36","7-Z36","14","2","chiral","14","0","7-Z12","boundary_family",,"0","0","14","[]","[""oriented_convergence""]"
"family:7-Z37","7-Z37","7","1","achiral","7","0","7-Z17","anchor_family","D3","7","0","0","[]","[]"
"family:7-Z38","7-Z38","14","2","chiral","14","0","7-Z18","satellite_family",,"0","14","0","[""D2""]","[]"
