"node_id","id","name","forte","bit","bit_reverse","pitch_set","interval_cycle","interval_vector","orientation","chirality","role","fine_role","identity_category","identity_type","tier","tier_number","office","office_index","has_governor_seat","office_authority","anchor_mechanism","assignment_status","resolution_class","universal_classification","governing_parent_count","construction_parent_count","seat_contact_count","identity_evidence_contact_count","identity_evidence_office_counts_json","identity_evidence_tier_counts_json","relational_office","plurality_contact_office","contact_count","contact_office_counts_json","contact_tier_counts_json","office_basis","registered_before_completion","added_by_completion"
"scale:127","127","7-1 terminal cluster state 127","7-1","b111111100000","b000001111111","{0,1,2,3,4,5,6}","1-1-1-1-1-1-6","6,5,4,3,2,1","7-1 single orientation","achiral","anchor","terminal_anchor_D7","D","terminal_convergence_anchor","D7","7","Jupiter","4",true,"terminal_same_office_convergence","orientation_paired_terminal_convergence","validated","validated_D7_terminal_anchor","terminal_anchor","0","0","2","2","{""Jupiter"":2}",,,,,,,"Same-office convergence from exactly two D6 / 7-2 satellites, one from each chiral orientation; no residual children.",false,true
"scale:191","191","Ultra-Alt 67","7-2","b111111010000","b000010111111","{0,1,2,3,4,5,7}","1-1-1-1-1-2-5","5,5,4,3,3,1","7-2 orientation A","chiral","satellite","satellite_D6","SATELLITE","direct_satellite","D6","6","Jupiter","4",true,"inherited_unique_parent",,"inherited","D6_direct_satellite","d6_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-8 D6 anchor 381; earlier precedence preserved",true,false
"scale:223","223","Scale 223","7-4","b111110110000","b000011011111","{0,1,2,3,4,6,7}","1-1-1-1-2-1-5","5,4,4,3,3,2","7-4 orientation A","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Jupiter",,"2","{""Jupiter"":2}","{""D3"":1,""D6"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:239","239","Infra-Alt 6𝄫𝄫7","7-5","b111101110000","b000011101111","{0,1,2,3,5,6,7}","1-1-1-2-1-1-5","5,4,3,3,4,2","7-5 orientation A","chiral","boundary","peripheral_leaf","BOUNDARY","peripheral_leaf",,,,,false,"relational_evidence_only",,"unassigned","single_contact_peripheral_leaf","peripheral_leaf","0","0","0",,,,,,"1","{""Mercury"":1}","{""D4"":1}","One established D4 satellite contact supplies insufficient evidence for recursive office inheritance.",true,false
"scale:247","247","Scale 247","7-5","b111011110000","b000011110111","{0,1,2,4,5,6,7}","1-1-2-1-1-1-5","5,4,3,3,4,2","7-5 orientation B","chiral","boundary","peripheral_leaf","BOUNDARY","peripheral_leaf",,,,,false,"relational_evidence_only",,"unassigned","single_contact_peripheral_leaf","peripheral_leaf","0","0","0",,,,,,"1","{""Venus"":1}","{""D4"":1}","One established D4 satellite contact supplies insufficient evidence for recursive office inheritance.",true,false
"scale:251","251","Scale 251","7-4","b110111110000","b000011111011","{0,1,3,4,5,6,7}","1-2-1-1-1-1-5","5,4,4,3,3,2","7-4 orientation B","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Jupiter",,"2","{""Jupiter"":2}","{""D3"":1,""D6"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:253","253","Alt ♮25♭67","7-2","b101111110000","b000011111101","{0,2,3,4,5,6,7}","2-1-1-1-1-1-5","5,5,4,3,3,1","7-2 orientation B","chiral","satellite","satellite_D6","SATELLITE","direct_satellite","D6","6","Jupiter","4",true,"inherited_unique_parent",,"inherited","D6_direct_satellite","d6_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-8 D6 anchor 381; earlier precedence preserved",true,false
"scale:319","319","7-3 rooted state 319","7-3","b111111001000","b000100111111","{0,1,2,3,4,5,8}","1-1-1-1-1-3-4","5,4,4,4,3,1","7-3 orientation A","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Jupiter",,"2","{""Jupiter"":2}","{""D5"":1,""D6"":1}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",false,true
"scale:351","351","Infra-Alt 567","7-9","b111110101000","b000101011111","{0,1,2,3,4,6,8}","1-1-1-1-2-2-4","4,5,3,4,3,2","7-9 orientation A","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Saturn",,"2","{""Saturn"":2}","{""D5"":2}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:367","367","Infra-Alt 67","7-Z36","b111101101000","b000101101111","{0,1,2,3,5,6,8}","1-1-1-2-1-2-4","4,4,4,3,4,2","7-Z36 orientation A","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Venus",,"2","{""Venus"":2}","{""D4"":2}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:375","375","Scale 375","7-13","b111011101000","b000101110111","{0,1,2,4,5,6,8}","1-1-2-1-1-2-4","4,4,3,5,3,2","7-13 orientation A","chiral","satellite","satellite_D4","SATELLITE","direct_satellite","D4","4","Venus","5",true,"inherited_unique_parent",,"inherited","D4_direct_satellite","d4_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-Z17 D4 anchor 631; earlier precedence preserved",true,false
"scale:379","379","Kaikian Mode II","7-11","b110111101000","b000101111011","{0,1,3,4,5,6,8}","1-2-1-1-1-2-4","4,4,4,4,4,1","7-11 orientation A","chiral","satellite","satellite_D3","SATELLITE","direct_satellite","D3","3","Jupiter","4",true,"inherited_unique_parent",,"inherited","D3_direct_satellite","d3_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-Z37 D3 anchor 443; earlier precedence preserved",true,false
"scale:381","381","Alt ♮25♭67","7-8","b101111101000","b000101111101","{0,2,3,4,5,6,8}","2-1-1-1-1-2-4","4,5,4,4,2,2","7-8 single orientation","achiral","anchor","anchor_D6","D","same_office_convergence_anchor","D6","6","Jupiter","4",true,"declared_contact_signature","satellite_mediated_same_office_convergence","validated","validated_D6_anchor","d6_anchor","0","0","4","4","{""Jupiter"":4}","{""D3"":2,""D5"":2}",,,,,,"7-8 same-office convergence from two established D3 and two established D5 satellite contacts",true,false
"scale:415","415","Infra-Alt 57","7-6","b111110011000","b000110011111","{0,1,2,3,4,7,8}","1-1-1-1-3-1-4","5,3,3,4,4,2","7-6 orientation A","chiral","satellite","satellite_D5","SATELLITE","direct_satellite","D5","5","Saturn","6",true,"inherited_unique_parent",,"inherited","D5_direct_satellite","d5_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-Z12 D5 anchor 671; earlier precedence preserved",true,false
"scale:431","431","Infra-Alt 7","7-14","b111101011000","b000110101111","{0,1,2,3,5,7,8}","1-1-1-2-2-1-4","4,4,3,3,5,2","7-14 orientation A","chiral","boundary","office_junction","BOUNDARY","office_junction",,,,,false,"relational_evidence_only",,"unassigned","validated_multi_office_junction","office_junction","0","0","0",,,,,"Saturn","5","{""Jupiter"":2,""Saturn"":3}","{""A2"":2,""D2"":2,""D5"":1}","Established satellite contacts form a stable multi-office vector; no deterministic tie-resolution operator is declared.",true,false
"scale:439","439","Infra-Alt 7♭4","7-Z38","b111011011000","b000110110111","{0,1,2,4,5,7,8}","1-1-2-1-2-1-4","4,3,4,4,4,2","7-Z38 orientation A","chiral","satellite","satellite_D2","SATELLITE","direct_satellite","D2","2","Jupiter","4",true,"inherited_unique_parent",,"inherited","D2_direct_satellite","d2_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-15 D2 anchor 471; earlier precedence preserved",true,false
"scale:443","443","Alt ♭♭5♭♭6♭♭♭7","7-Z37","b110111011000","b000110111011","{0,1,3,4,5,7,8}","1-2-1-1-2-1-4","4,3,4,5,4,1","7-Z37 single orientation","achiral","anchor","anchor_D3","D","same_office_convergence_anchor","D3","3","Jupiter","4",true,"declared_contact_signature","satellite_mediated_same_office_convergence","validated","validated_D3_anchor","d3_anchor","0","0","4","4","{""Jupiter"":4}","{""D2"":2,""A2"":2}",,,,,,"7-Z37 dual-tier same-office convergence from two A2 and two D2 satellite contacts",true,false
"scale:445","445","Alt ♮2♭♭5♭6♭♭♭7","7-11","b101111011000","b000110111101","{0,2,3,4,5,7,8}","2-1-1-1-2-1-4","4,4,4,4,4,1","7-11 orientation B","chiral","satellite","satellite_D3","SATELLITE","direct_satellite","D3","3","Jupiter","4",true,"inherited_unique_parent",,"inherited","D3_direct_satellite","d3_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-Z37 D3 anchor 443; earlier precedence preserved",true,false
"scale:463","463","Scale 463","7-7","b111100111000","b000111001111","{0,1,2,3,6,7,8}","1-1-1-3-1-1-4","5,3,2,3,5,3","7-7 orientation A","chiral","satellite","satellite_D2","SATELLITE","direct_satellite","D2","2","Jupiter","4",true,"inherited_unique_parent",,"inherited","D2_direct_satellite","d2_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-15 D2 anchor 471; earlier precedence preserved",true,false
"scale:471","471","Alt 3·6·♭7","7-15","b111010111000","b000111010111","{0,1,2,4,6,7,8}","1-1-2-2-1-1-4","4,4,2,4,4,3","7-15 single orientation","achiral","anchor","anchor_D2","D","same_office_convergence_anchor","D2","2","Jupiter","4",true,"declared_contact_signature","satellite_mediated_same_office_convergence","validated","validated_D2_anchor","d2_anchor","0","0","2","2","{""Jupiter"":2}",,,,,,,"7-15 same-office convergence from two independently agreeing A0-satellite contacts",true,false
"scale:475","475","Alt 6♭7","7-Z38","b110110111000","b000111011011","{0,1,3,4,6,7,8}","1-2-1-2-1-1-4","4,3,4,4,4,2","7-Z38 orientation B","chiral","satellite","satellite_D2","SATELLITE","direct_satellite","D2","2","Jupiter","4",true,"inherited_unique_parent",,"inherited","D2_direct_satellite","d2_satellite","1","0","1",,,,,,,,,"direct eligible relation to 7-15 D2 anchor 471; earlier precedence preserved",true,false
"scale:477","477","Alt ♮2𝄫6♭𝄫7","7-13","b101110111000","b000111011101","{0,2,3,4,6,7,8}","2-1-1-2-1-1-4","4,4,3,5,3,2","7-13 orientation B","chiral","satellite","satellite_D4","SATELLITE","direct_satellite","D4","4","Mercury","3",true,"inherited_unique_parent",,"inherited","D4_direct_satellite","d4_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-Z17 D4 anchor 953; earlier precedence preserved",true,false
"scale:487","487","Scale 487","7-7","b111001111000","b000111100111","{0,1,2,5,6,7,8}","1-1-3-1-1-1-4","5,3,2,3,5,3","7-7 orientation B","chiral","satellite","satellite_D2","SATELLITE","direct_satellite","D2","2","Jupiter","4",true,"inherited_unique_parent",,"inherited","D2_direct_satellite","d2_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-15 D2 anchor 471; earlier precedence preserved",true,false
"scale:491","491","Locrian ♭♭6♭♭♭7","7-14","b110101111000","b000111101011","{0,1,3,5,6,7,8}","1-2-2-1-1-1-4","4,4,3,3,5,2","7-14 orientation B","chiral","boundary","office_junction","BOUNDARY","office_junction",,,,,false,"relational_evidence_only",,"unassigned","validated_multi_office_junction","office_junction","0","0","0",,,,,"Mars","5","{""Mars"":3,""Jupiter"":2}","{""A2"":2,""D2"":2,""D5"":1}","Established satellite contacts form a stable multi-office vector; no deterministic tie-resolution operator is declared.",true,false
"scale:493","493","Locrian ♮2♭♭6♭♭♭7","7-Z36","b101101111000","b000111101101","{0,2,3,5,6,7,8}","2-1-2-1-1-1-4","4,4,4,3,4,2","7-Z36 orientation B","chiral","boundary","oriented_convergence","BOUNDARY","oriented_convergence",,,,,false,"relational_evidence_only",,"unassigned","validated_oriented_convergence_office_withheld","oriented_convergence","0","0","0",,,,"Mercury",,"2","{""Mercury"":2}","{""D4"":2}","At least two independent established satellite contacts agree on one relational office; chirality prevents anchor promotion and categorical office remains withheld.",true,false
"scale:499","499","Major Locrian ♭26♭7","7-6","b110011111000","b000111110011","{0,1,4,5,6,7,8}","1-3-1-1-1-1-4","5,3,3,4,4,2","7-6 orientation B","chiral","satellite","satellite_D5","SATELLITE","direct_satellite","D5","5","Mars","2",true,"inherited_unique_parent",,"inherited","D5_direct_satellite","d5_satellite","1","0","0",,,,,,,,,"direct eligible relation to 7-Z12 D5 anchor 997; earlier precedence preserved",true,false
