"id","type","source_node_id","target_node_id","source_scale_id","target_scale_id","directed","governing","audit_tier","relation_tier","contact_tier","contact_office","phase_delta","phase_deltas_json","hamming","endpoint_hamming","mode","mutation","degree","degree_governor","eligible","selected","target_classification","evidence_count","evidence_role","unanimous","plurality","categorical","contact_tier_counts_json","provenance"
"seat-contact:D1:923:939:0","SEAT_CONTACT","scale:939","scale:923","939","923",false,false,"D1","D1",,,"0",,"2",,"single_degree","D4 4→5 (+1)","4","Sun",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:923:859:0","SEAT_CONTACT","scale:859","scale:923","859","923",false,false,"D1","D1",,,"0",,"2",,"single_degree","D5 7→6 (-1)","5","Venus",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:923:1435:0","SEAT_CONTACT","scale:1435","scale:923","1435","923",false,false,"D1","D1",,,"0",,"2",,"single_degree","D7 9→10 (+1)","7","Moon",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:923:1845:-1","SEAT_CONTACT","scale:1845","scale:923","1845","923",false,false,"D1","D1",,,"-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:871:875:0","SEAT_CONTACT","scale:875","scale:871","875","871",false,false,"D1","D1",,,"0",,"2",,"single_degree","D3 2→3 (+1)","3","Mars",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:871:855:0","SEAT_CONTACT","scale:855","scale:871","855","871",false,false,"D1","D1",,,"0",,"2",,"single_degree","D4 5→4 (-1)","4","Sun",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:871:1383:0","SEAT_CONTACT","scale:1383","scale:871","1383","871",false,false,"D1","D1",,,"0",,"2",,"single_degree","D7 9→10 (+1)","7","Moon",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:871:1741:-1","SEAT_CONTACT","scale:1741","scale:871","1741","871",false,false,"D1","D1",,,"-1",,"2",,"root_phase","root 0→11; renormalize +1","1","Saturn",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2509:2517:0","SEAT_CONTACT","scale:2517","scale:2509","2517","2509",false,false,"D1","D1",,,"0",,"2",,"single_degree","D3 3→4 (+1)","3","Mars",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2509:2477:0","SEAT_CONTACT","scale:2477","scale:2509","2477","2509",false,false,"D1","D1",,,"0",,"2",,"single_degree","D4 6→5 (-1)","4","Sun",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2509:2765:0","SEAT_CONTACT","scale:2765","scale:2509","2765","2509",false,false,"D1","D1",,,"0",,"2",,"single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2509:1485:0","SEAT_CONTACT","scale:1485","scale:2509","1485","2509",false,false,"D1","D1",,,"0",,"2",,"single_degree","D7 11→10 (-1)","7","Moon",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2483:2485:0","SEAT_CONTACT","scale:2485","scale:2483","2485","2483",false,false,"D1","D1",,,"0",,"2",,"single_degree","D2 1→2 (+1)","2","Jupiter",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2483:2475:0","SEAT_CONTACT","scale:2475","scale:2483","2475","2483",false,false,"D1","D1",,,"0",,"2",,"single_degree","D3 4→3 (-1)","3","Mars",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2483:2739:0","SEAT_CONTACT","scale:2739","scale:2483","2739","2483",false,false,"D1","D1",,,"0",,"2",,"single_degree","D6 8→9 (+1)","6","Mercury",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2483:1459:0","SEAT_CONTACT","scale:1459","scale:2483","1459","2483",false,false,"D1","D1",,,"0",,"2",,"single_degree","D7 11→10 (-1)","7","Moon",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:1651:1653:0","SEAT_CONTACT","scale:1653","scale:1651","1653","1651",false,false,"D1","D1",,,"0",,"2",,"single_degree","D2 1→2 (+1)","2","Jupiter",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:1651:1643:0","SEAT_CONTACT","scale:1643","scale:1651","1643","1651",false,false,"D1","D1",,,"0",,"2",,"single_degree","D3 4→3 (-1)","3","Mars",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:1651:1715:0","SEAT_CONTACT","scale:1715","scale:1651","1715","1651",false,false,"D1","D1",,,"0",,"2",,"single_degree","D5 6→7 (+1)","5","Venus",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:1651:1395:0","SEAT_CONTACT","scale:1395","scale:1651","1395","1651",false,false,"D1","D1",,,"0",,"2",,"single_degree","D6 9→8 (-1)","6","Mercury",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:3289:3285:0","SEAT_CONTACT","scale:3285","scale:3289","3285","3289",false,false,"D1","D1",,,"0",,"2",,"single_degree","D2 3→2 (-1)","2","Jupiter",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:3289:3417:0","SEAT_CONTACT","scale:3417","scale:3289","3417","3289",false,false,"D1","D1",,,"0",,"2",,"single_degree","D5 7→8 (+1)","5","Venus",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:3289:2777:0","SEAT_CONTACT","scale:2777","scale:3289","2777","3289",false,false,"D1","D1",,,"0",,"2",,"single_degree","D6 10→9 (-1)","6","Mercury",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:3289:1645:1","SEAT_CONTACT","scale:1645","scale:3289","1645","3289",false,false,"D1","D1",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2873:2869:0","SEAT_CONTACT","scale:2869","scale:2873","2869","2873",false,false,"D1","D1",,,"0",,"2",,"single_degree","D2 3→2 (-1)","2","Jupiter",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2873:2905:0","SEAT_CONTACT","scale:2905","scale:2873","2905","2873",false,false,"D1","D1",,,"0",,"2",,"single_degree","D4 5→6 (+1)","4","Sun",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2873:2745:0","SEAT_CONTACT","scale:2745","scale:2873","2745","2873",false,false,"D1","D1",,,"0",,"2",,"single_degree","D5 8→7 (-1)","5","Venus",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D1:2873:1437:1","SEAT_CONTACT","scale:1437","scale:2873","1437","2873",false,false,"D1","D1",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"7-22 second-order seat inference via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D2:2787:2789:0","SEAT_CONTACT","scale:2789","scale:2787","2789","2787",false,false,"D2","D2",,,"0",,"2","4","single_degree","D2 1→2 (+1)","2","Jupiter",true,true,,,,,,,,"7-15 same-office seat convergence via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D2:2787:2771:0","SEAT_CONTACT","scale:2771","scale:2787","2771","2787",false,false,"D2","D2",,,"0",,"2","4","single_degree","D3 5→4 (-1)","3","Mars",true,true,,,,,,,,"7-15 same-office seat convergence via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D2:3189:3253:0","SEAT_CONTACT","scale:3253","scale:3189","3253","3189",false,false,"D2","D2",,,"0",,"2","4","single_degree","D5 6→7 (+1)","5","Venus",true,true,,,,,,,,"7-15 same-office seat convergence via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D2:3189:2677:0","SEAT_CONTACT","scale:2677","scale:3189","2677","3189",false,false,"D2","D2",,,"0",,"2","4","single_degree","D6 10→9 (-1)","6","Mercury",true,true,,,,,,,,"7-15 same-office seat convergence via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D2:3441:3433:0","SEAT_CONTACT","scale:3433","scale:3441","3433","3441",false,false,"D2","D2",,,"0",,"2",,"single_degree","D2 4→3 (-1)","2","Jupiter",true,true,,,,,,,,"7-15 same-office seat convergence via established A0 satellite; relation evaluated anchor→contact"
"seat-contact:D2:3441:1721:1","SEAT_CONTACT","scale:1721","scale:3441","1721","3441",false,false,"D2","D2",,,"1",,"2",,"root_phase","root 0→1; renormalize −1","1","Saturn",true,true,,,,,,,,"7-15 same-office seat convergence via established A0 satellite; relation evaluated anchor→contact"
