"check","result","detail"
"462 scale states","PASS","actual=462"
"38 Forte families","PASS","actual=38"
"7 Governor offices","PASS","actual=7"
"507 total graph nodes","PASS","actual=507"
"unique scale IDs","PASS","scale integer IDs are unique"
"unique node IDs","PASS","projection labels do not collide"
"unique relationship IDs","PASS","relationships=2818"
"all relationship endpoints resolve","PASS","source and target nodes exist"
"rooted heptatonic representation","PASS","violations=0"
"complete rooted universe","PASS","expected=462"
"role partition","PASS","{""anchor"":70,""satellite"":238,""boundary"":154}"
"identity partition","PASS","{""D"":49,""SATELLITE"":238,""BOUNDARY"":154,""A"":21}"
"boundary office withheld","PASS","boundary has null office, null tier, and no categorical seat"
"office-bearing state count","PASS","actual=308"
"one family projection per state","PASS","actual=462"
"one office projection per seated state","PASS","actual=308"
"no boundary OCCUPIES_OFFICE","PASS","categorical office invariant"
"relational-office evidence projection","PASS","actual=224"
"every boundary has office evidence","PASS","evidence does not imply office occupancy"
"GOVERNS count","PASS","expected=238; actual=238"
"CONSTRUCTS count","PASS","expected=28; actual=28"
"SEAT_CONTACT count","PASS","expected=140; actual=140"
"MODAL_SUCCESSOR count","PASS","expected=182; actual=182"
"AUDITED_HAMMING2 count","PASS","expected=585; actual=585"
"PHASE_SHIFT count","PASS","expected=175; actual=175"
"CONVERGENCE_CONTACT count","PASS","expected=210; actual=210"
"JUNCTION_CONTACT count","PASS","expected=252; actual=252"
"LEAF_CONTACT count","PASS","expected=14; actual=14"
"BELONGS_TO_FAMILY count","PASS","expected=462; actual=462"
"OCCUPIES_OFFICE count","PASS","expected=308; actual=308"
"RELATIONAL_OFFICE_EVIDENCE count","PASS","expected=224; actual=224"
"2,818 Neo4j relationships","PASS","actual=2818"
"one selected governing parent per satellite","PASS","selected ancestry is unique"
"governing inheritance consistency","PASS","violations=0"
"fixed-tonic Hamming-2 geometry","PASS","violations=0"
"root-phase delta","PASS","violations=0"
"A1/A2 construction parent count","PASS","each direct midpoint anchor has two selected construction parents"
"A anchors are achiral","PASS","orientation-free direct frames"
"D1 anchor orbit","PASS","anchors=7"
"D1 seat signature","PASS","expected contacts per anchor=4"
"D2 anchor orbit","PASS","anchors=7"
"D2 seat signature","PASS","expected contacts per anchor=2"
"D3 anchor orbit","PASS","anchors=7"
"D3 seat signature","PASS","expected contacts per anchor=4"
"D4 anchor orbit","PASS","anchors=7"
"D4 seat signature","PASS","expected contacts per anchor=2"
"D5 anchor orbit","PASS","anchors=7"
"D5 seat signature","PASS","expected contacts per anchor=2"
"D6 anchor orbit","PASS","anchors=7"
"D6 seat signature","PASS","expected contacts per anchor=4"
"D7 anchor orbit","PASS","anchors=7"
"D7 seat signature","PASS","expected contacts per anchor=2"
"anchor modal closure degree","PASS","violations=0"
"typed boundary partition","PASS","{""oriented_convergence"":84,""peripheral_leaf"":14,""office_junction"":56}"
"oriented convergence identity","PASS","violations=0"
"office junction identity","PASS","violations=0"
"peripheral leaf identity","PASS","violations=0"
"D7 terminal identity","PASS","anchors=7; residual=0"
