landform_id:ID(LandformReference),name,status,:LABEL
landform:b5da93393dfeaa42,archipelagos,canonical_reference,LandformReference
landform:8305355bdc59b244,canyons,canonical_reference,LandformReference
landform:0bc715d25d3620e8,caves,canonical_reference,LandformReference
landform:be8094e06a3ebbbc,cliffs,canonical_reference,LandformReference
landform:8baaf3964e9e234c,cracked earth,canonical_reference,LandformReference
landform:154b286bfed2bec5,crossroads,canonical_reference,LandformReference
landform:272148e248637a7e,deserts,canonical_reference,LandformReference
landform:e732a42ef7600fa0,deserts of salt,canonical_reference,LandformReference
landform:dfc7fff6dca1b440,estuaries,canonical_reference,LandformReference
landform:2bdd714ca20bd255,foggy valleys,canonical_reference,LandformReference
landform:65454b910c935d04,gardens,canonical_reference,LandformReference
landform:e8d6f073351debcf,gentle hills,canonical_reference,LandformReference
landform:7c75534aa092ce5c,gorges,canonical_reference,LandformReference
landform:ad3f805959edcb3f,groves,canonical_reference,LandformReference
landform:e12c1149056e7ca8,high plateaus,canonical_reference,LandformReference
landform:daca99ddaae182a7,impact craters,canonical_reference,LandformReference
landform:43a485720e033b46,lakes,canonical_reference,LandformReference
landform:a54baf597e2f3001,marshes,canonical_reference,LandformReference
landform:506c65c53828b641,meadows,canonical_reference,LandformReference
landform:5e23d5356b6462d0,mountains,canonical_reference,LandformReference
landform:05f08d6d409169c3,open fields bathed in sunlight,canonical_reference,LandformReference
landform:737ca691d842344d,open skies,canonical_reference,LandformReference
landform:e48ad2729c14cff6,plains,canonical_reference,LandformReference
landform:63b10291010b4c07,plateaus,canonical_reference,LandformReference
landform:9528be2dd425b4a0,ponds,canonical_reference,LandformReference
landform:823f913996424167,river deltas,canonical_reference,LandformReference
landform:4d1cd7f5f72f3048,riverbanks,canonical_reference,LandformReference
landform:062d5d619f2aebe2,savanna,canonical_reference,LandformReference
landform:7016dcdf7e4d356a,steppes,canonical_reference,LandformReference
landform:37908e70ad44be96,stone walls,canonical_reference,LandformReference
landform:30294da0ea74c8ac,tidal pools,canonical_reference,LandformReference
landform:4f7284c9339b9453,trade routes,canonical_reference,LandformReference
landform:80be1ef0ffd65e90,trade winds,canonical_reference,LandformReference
landform:25a834f39f01642b,underground rivers,canonical_reference,LandformReference
landform:0fa41f08f6130428,valleys,canonical_reference,LandformReference
landform:2199de18865ec0ec,volcanoes,canonical_reference,LandformReference
landform:34b08748479d5526,winding paths,canonical_reference,LandformReference
