assertion_id,profile_id:START_ID(CanonicalFeatureProfile),feature_id:END_ID(FeatureDefinition),value_json,provenance_json,:TYPE
assertion:7ee917d0f2e2accd2846,profile:sun:v0.1.1,physical.wavelength_nm,700,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:6c8c61924a804642367d,profile:sun:v0.1.1,physical.frequency_hz,428274939999999.94,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:063c11f76a47809094e5,profile:sun:v0.1.1,physical.photon_energy_j,2.8377797959270407e-19,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:c3eaecac6356d542baef,profile:sun:v0.1.1,physical.photon_energy_ev,1.7712028347600037,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:7d4c4b85e37c71c76b22,profile:sun:v0.1.1,physical.C_P,0,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
assertion:462c70a21635dcee9731,profile:sun:v0.1.1,harmonic.canonical_scale_state,2773,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:875547ec419594d8db74,profile:sun:v0.1.1,harmonic.pitch_mask,b101010110101,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:0a20d15ea14497e36ef7,profile:sun:v0.1.1,harmonic.forte_family,7-35,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:e1cc695ad82645e964c8,profile:sun:v0.1.1,harmonic.anchor_tier,A0,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:20a342ba5db0ebde0350,profile:sun:v0.1.1,harmonic.C_H,,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:4b967a6387f86c9bd7a7,profile:sun:v0.1.1,semantic.thermodynamic_function,emission,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:0471d9d35b02e88d041e,profile:sun:v0.1.1,semantic.optical_function,source_radiance,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:a097620dd110c72ef6a2,profile:sun:v0.1.1,semantic.directionality,outward_projective,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:804ff07dd5f7697b8618,profile:sun:v0.1.1,semantic.archetypal_role,reality as coherent actuality,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:51f20f408f0e4a024067,profile:sun:v0.1.1,semantic.element,,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:22fbd23873e02fec8c17,profile:sun:v0.1.1,semantic.zodiacal_systems,"{""leo"":{""sex"":""male"",""magnetism"":""monopolar"",""directionality"":""outward_projective"",""derives_from"":""canonical_expression.binary_12bit"",""system_name"":""Source-Code System"",""domain"":[""source-code"",""natural law"",""system fundamentals"",""DNA"",""chemistry"",""design logic"",""biomimicry""],""core_question"":""What is the underlying principle that makes this work?"",""canonical_phrase"":""Leo / Sun = the source-code system.""}}","{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:87549a4a87bf8354d4db,profile:sun:v0.1.1,semantic.C_S,"{""orderedPosition"":1,""orderedProcess"":""emission"",""normalizedOrdinal"":0,""metric"":false,""status"":""framework_order_plus_registry_coordinate_convention""}","{""authority"":""framework_order_plus_registry_coordinate_convention"",""sources"":[{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun.canonical_expression.thermodynamic_function"",""authority"":""framework_declared""},{""artifact"":""scripts/build-registry.mjs"",""authority"":""registry_coordinate_convention"",""description"":""The ordered position is exposed as a non-metric normalized ordinal.""}]}",HAS_FEATURE
assertion:ef81b88a26c9e97ad4bb,profile:sun:v0.1.1,domain.landforms,"[""plains"",""savanna"",""plateaus"",""open fields bathed in sunlight""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:ba44f74509dade5a183c,profile:sun:v0.1.1,domain.architecture,"[""monolithic stone circles"",""temples open to the sky"",""altars"",""ziggurats"",""observatories""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:9e60145679bf59d037d1,profile:sun:v0.1.1,domain.botany,"[""sunflowers"",""marigolds"",""heliotropes"",""citrus trees"",""olive trees"",""bay laurel""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:19a4aeed93d7bd1f3776,profile:sun:v0.1.1,domain.material,"[""gold"",""amber"",""citrine"",""brass"",""electrum""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:28962f31a7558fc94c06,profile:sun:v0.1.1,domain.color_associations,"[""red"",""gold"",""bright yellow"",""orange-gold""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:5dcc77a5a344aad69c1a,profile:sun:v0.1.1,domain.symbolic_references,"[""solar cross"",""crown"",""halo"",""lion"",""phoenix"",""eye of providence"",""the number 1"",""the point at the center""]","{""artifact"":""source/governors.yaml"",""pointer"":""governors.sun"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:81466007bf6eee891beb,profile:moon:v0.1.1,physical.wavelength_nm,610,"{""artifact"":""source/governors.yaml"",""pointer"":""governors.moon"",""authority"":""framework_declared""}",HAS_FEATURE
assertion:095ef5dee2f5751037e8,profile:moon:v0.1.1,physical.frequency_hz,491463045901639.25,"{""artifact"":""scripts/build-registry.mjs"",""authority"":""physically_derived_from_framework_anchor"",""formula"":""Derived from declared wavelength.""}",HAS_FEATURE
