profile_id:START_ID(CanonicalFeatureProfile),landform_id:END_ID(LandformReference),reference_order:int,authority,:TYPE
profile:sun:v0.1.1,landform:e48ad2729c14cff6,0,framework_declared,REFERENCES_LANDFORM
profile:sun:v0.1.1,landform:062d5d619f2aebe2,1,framework_declared,REFERENCES_LANDFORM
profile:sun:v0.1.1,landform:63b10291010b4c07,2,framework_declared,REFERENCES_LANDFORM
profile:sun:v0.1.1,landform:05f08d6d409169c3,3,framework_declared,REFERENCES_LANDFORM
profile:moon:v0.1.1,landform:43a485720e033b46,0,framework_declared,REFERENCES_LANDFORM
profile:moon:v0.1.1,landform:9528be2dd425b4a0,1,framework_declared,REFERENCES_LANDFORM
profile:moon:v0.1.1,landform:30294da0ea74c8ac,2,framework_declared,REFERENCES_LANDFORM
profile:moon:v0.1.1,landform:dfc7fff6dca1b440,3,framework_declared,REFERENCES_LANDFORM
profile:moon:v0.1.1,landform:a54baf597e2f3001,4,framework_declared,REFERENCES_LANDFORM
profile:moon:v0.1.1,landform:2bdd714ca20bd255,5,framework_declared,REFERENCES_LANDFORM
profile:mars:v0.1.1,landform:2199de18865ec0ec,0,framework_declared,REFERENCES_LANDFORM
profile:mars:v0.1.1,landform:8305355bdc59b244,1,framework_declared,REFERENCES_LANDFORM
profile:mars:v0.1.1,landform:be8094e06a3ebbbc,2,framework_declared,REFERENCES_LANDFORM
profile:mars:v0.1.1,landform:7c75534aa092ce5c,3,framework_declared,REFERENCES_LANDFORM
profile:mars:v0.1.1,landform:272148e248637a7e,4,framework_declared,REFERENCES_LANDFORM
profile:mars:v0.1.1,landform:8baaf3964e9e234c,5,framework_declared,REFERENCES_LANDFORM
profile:mars:v0.1.1,landform:daca99ddaae182a7,6,framework_declared,REFERENCES_LANDFORM
profile:mercury:v0.1.1,landform:823f913996424167,0,framework_declared,REFERENCES_LANDFORM
profile:mercury:v0.1.1,landform:dfc7fff6dca1b440,1,framework_declared,REFERENCES_LANDFORM
profile:mercury:v0.1.1,landform:154b286bfed2bec5,2,framework_declared,REFERENCES_LANDFORM
profile:mercury:v0.1.1,landform:34b08748479d5526,3,framework_declared,REFERENCES_LANDFORM
profile:mercury:v0.1.1,landform:4f7284c9339b9453,4,framework_declared,REFERENCES_LANDFORM
profile:jupiter:v0.1.1,landform:e48ad2729c14cff6,0,framework_declared,REFERENCES_LANDFORM
profile:jupiter:v0.1.1,landform:7016dcdf7e4d356a,1,framework_declared,REFERENCES_LANDFORM
profile:jupiter:v0.1.1,landform:737ca691d842344d,2,framework_declared,REFERENCES_LANDFORM
profile:jupiter:v0.1.1,landform:e12c1149056e7ca8,3,framework_declared,REFERENCES_LANDFORM
profile:jupiter:v0.1.1,landform:b5da93393dfeaa42,4,framework_declared,REFERENCES_LANDFORM
profile:jupiter:v0.1.1,landform:80be1ef0ffd65e90,5,framework_declared,REFERENCES_LANDFORM
profile:venus:v0.1.1,landform:0fa41f08f6130428,0,framework_declared,REFERENCES_LANDFORM
profile:venus:v0.1.1,landform:65454b910c935d04,1,framework_declared,REFERENCES_LANDFORM
profile:venus:v0.1.1,landform:ad3f805959edcb3f,2,framework_declared,REFERENCES_LANDFORM
profile:venus:v0.1.1,landform:506c65c53828b641,3,framework_declared,REFERENCES_LANDFORM
profile:venus:v0.1.1,landform:e8d6f073351debcf,4,framework_declared,REFERENCES_LANDFORM
profile:venus:v0.1.1,landform:4d1cd7f5f72f3048,5,framework_declared,REFERENCES_LANDFORM
profile:saturn:v0.1.1,landform:5e23d5356b6462d0,0,framework_declared,REFERENCES_LANDFORM
profile:saturn:v0.1.1,landform:be8094e06a3ebbbc,1,framework_declared,REFERENCES_LANDFORM
profile:saturn:v0.1.1,landform:37908e70ad44be96,2,framework_declared,REFERENCES_LANDFORM
profile:saturn:v0.1.1,landform:0bc715d25d3620e8,3,framework_declared,REFERENCES_LANDFORM
profile:saturn:v0.1.1,landform:25a834f39f01642b,4,framework_declared,REFERENCES_LANDFORM
profile:saturn:v0.1.1,landform:e732a42ef7600fa0,5,framework_declared,REFERENCES_LANDFORM
