semantic_operator_id:START_ID(SemanticOperator),scope_id:END_ID(SemanticUnresolvedScope),status,:TYPE
semantic:M:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:M:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:M:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:M:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R1:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R1:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R1:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R1:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L1:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L1:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L1:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L1:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R2:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R2:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R2:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R2:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L2:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L2:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L2:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L2:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R3:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R3:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R3:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R3:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L3:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L3:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L3:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L3:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R4:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R4:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R4:v0.1.1,unresolved:semantic_compression_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:R4:v0.1.1,unresolved:semantic_commutation_after_normalization,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L4:v0.1.1,unresolved:canonical_feature_delta,unresolved,HAS_UNRESOLVED_SCOPE
semantic:L4:v0.1.1,unresolved:domain_projection_delta,unresolved,HAS_UNRESOLVED_SCOPE
