semantic_operator_id:ID(SemanticOperator),release_id,structural_operator_id,notation,name,operator_class,degree:int,degree_governor,direction,domain_rule,harmonic_action,inverse_structural_operator_id,conjugate_structural_operator_id,semantic_status,semantic_research_priority,physical_mutation:boolean,normalization_policy_json,structural_fixture_ids:string[],semantic_effect_fixture_ids:string[],registry_version,:LABEL
semantic:M:v0.1.1,canonical-profile-registry:0.1.1,M,M,Modal successor,modal_re_rooting,,,successor,All rooted weight-seven states.,Re-root the unchanged pitch-class set at its next ascending scale tone.,M^6,M,structural_fixture_backed_semantics_unresolved,standard,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",fixture:aeolian-modal-covariance,,0.1.1,SemanticOperator
semantic:R1:v0.1.1,canonical-profile-registry:0.1.1,R1,R_1,Raise root phase by one semitone,root_phase,1,Saturn,raise,Defined when pitch class 1 is absent; replace root 0 with 1 and renormalize by -1.,"Move the tonic seam one semitone, retain the other six absolute pitches, then renormalize the new root to 0.",L1,R7,structural_operator_semantics_unresolved,standard,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",,,0.1.1,SemanticOperator
semantic:L1:v0.1.1,canonical-profile-registry:0.1.1,L1,L_1,Lower root phase by one semitone,root_phase,1,Saturn,lower,Defined when pitch class 11 is absent; replace root 0 with 11 and renormalize by +1.,"Move the tonic seam one semitone, retain the other six absolute pitches, then renormalize the new root to 0.",R1,L7,structural_operator_semantics_unresolved,standard,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",,,0.1.1,SemanticOperator
semantic:R2:v0.1.1,canonical-profile-registry:0.1.1,R2,R_2,Raise Degree 2 by one semitone,fixed_degree_shift,2,Jupiter,raise,Defined when Degree 2 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 2 by +1 semitone.,L2,R1,structural_operator_semantics_unresolved,standard,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",,,0.1.1,SemanticOperator
semantic:L2:v0.1.1,canonical-profile-registry:0.1.1,L2,L_2,Lower Degree 2 by one semitone,fixed_degree_shift,2,Jupiter,lower,Defined when Degree 2 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 2 by -1 semitone.,R2,L1,structural_operator_semantics_unresolved,standard,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",,,0.1.1,SemanticOperator
semantic:R3:v0.1.1,canonical-profile-registry:0.1.1,R3,R_3,Raise Degree 3 by one semitone,fixed_degree_shift,3,Mars,raise,Defined when Degree 3 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 3 by +1 semitone.,L3,R2,structural_operator_semantics_unresolved,standard,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",,,0.1.1,SemanticOperator
semantic:L3:v0.1.1,canonical-profile-registry:0.1.1,L3,L_3,Lower Degree 3 by one semitone,fixed_degree_shift,3,Mars,lower,Defined when Degree 3 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 3 by -1 semitone.,R3,L2,structural_operator_semantics_unresolved,standard,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",,,0.1.1,SemanticOperator
semantic:R4:v0.1.1,canonical-profile-registry:0.1.1,R4,R_4,Raise Degree 4 by one semitone,fixed_degree_shift,4,Sun,raise,Defined when Degree 4 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 4 by +1 semitone.,L4,R3,structural_fixture_backed_semantics_unresolved,priority_v0.1_sun_moon_axis,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",fixture:acoustic-confluence;fixture:lydian-minor-midpoint,,0.1.1,SemanticOperator
semantic:L4:v0.1.1,canonical-profile-registry:0.1.1,L4,L_4,Lower Degree 4 by one semitone,fixed_degree_shift,4,Sun,lower,Defined when Degree 4 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 4 by -1 semitone.,R4,L3,structural_operator_semantics_unresolved,priority_v0.1_sun_moon_axis,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",,,0.1.1,SemanticOperator
semantic:R5:v0.1.1,canonical-profile-registry:0.1.1,R5,R_5,Raise Degree 5 by one semitone,fixed_degree_shift,5,Venus,raise,Defined when Degree 5 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 5 by +1 semitone.,L5,R4,structural_operator_semantics_unresolved,standard,false,"{""destinationDefinesIntrinsicProfile"":true,""routeHistoryStoredSeparately"":true,""confluenceRequired"":true}",,,0.1.1,SemanticOperator
