operator_a,operator_b,source_states_tested,a_then_b_defined,b_then_a_defined,both_defined,equal_when_both_defined,unequal_when_both_defined,domain_asymmetry,neither_defined,both_first_steps_defined,direct_diamonds,blocked_critical_pairs,classification
R1,L1,462,210,210,84,84,0,252,126,84,84,0,weak_common_domain_commutation
R1,R2,462,84,210,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R1,L2,462,84,84,84,84,0,0,378,210,84,126,strong_partial_commutation
R1,R3,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R1,L3,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R1,R4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R1,L4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R1,R5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R1,L5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R1,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R1,L6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R1,R7,462,210,84,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R1,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,R2,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,L2,462,210,84,84,84,0,126,252,84,84,0,weak_common_domain_commutation
L1,R3,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,L3,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,R4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,L4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,R5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,L5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,L6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L1,R7,462,84,84,84,84,0,0,378,210,84,126,strong_partial_commutation
L1,L7,462,84,210,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R2,L2,462,210,210,84,84,0,252,126,84,84,0,weak_common_domain_commutation
R2,R3,462,84,210,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R2,L3,462,84,84,84,84,0,0,378,210,84,126,strong_partial_commutation
R2,R4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R2,L4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R2,R5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R2,L5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R2,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R2,L6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R2,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R2,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,R3,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,L3,462,210,84,84,84,0,126,252,84,84,0,weak_common_domain_commutation
L2,R4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,L4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,R5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,L5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,L6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L2,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R3,L3,462,210,210,84,84,0,252,126,84,84,0,weak_common_domain_commutation
R3,R4,462,84,210,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R3,L4,462,84,84,84,84,0,0,378,210,84,126,strong_partial_commutation
R3,R5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R3,L5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R3,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R3,L6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R3,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R3,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L3,R4,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L3,L4,462,210,84,84,84,0,126,252,84,84,0,weak_common_domain_commutation
L3,R5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L3,L5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L3,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L3,L6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L3,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L3,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R4,L4,462,210,210,84,84,0,252,126,84,84,0,weak_common_domain_commutation
R4,R5,462,84,210,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R4,L5,462,84,84,84,84,0,0,378,210,84,126,strong_partial_commutation
R4,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R4,L6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R4,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R4,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L4,R5,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L4,L5,462,210,84,84,84,0,126,252,84,84,0,weak_common_domain_commutation
L4,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L4,L6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L4,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L4,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R5,L5,462,210,210,84,84,0,252,126,84,84,0,weak_common_domain_commutation
R5,R6,462,84,210,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R5,L6,462,84,84,84,84,0,0,378,210,84,126,strong_partial_commutation
R5,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R5,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L5,R6,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L5,L6,462,210,84,84,84,0,126,252,84,84,0,weak_common_domain_commutation
L5,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L5,L7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
R6,L6,462,210,210,84,84,0,252,126,84,84,0,weak_common_domain_commutation
R6,R7,462,84,210,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R6,L7,462,84,84,84,84,0,0,378,210,84,126,strong_partial_commutation
L6,R7,462,84,84,84,84,0,0,378,84,84,0,strong_partial_commutation
L6,L7,462,210,84,84,84,0,126,252,84,84,0,weak_common_domain_commutation
R7,L7,462,210,210,84,84,0,252,126,84,84,0,weak_common_domain_commutation
