square_id,source_id,source_name,operator_a,operator_b,a_then_b_target_id,b_then_a_target_id,intermediate_a_id,intermediate_b_id,first_steps_both_defined,result
square:R1:L1:253,253,Alt ♮25♭67,R1,L1,253,253,127,505,true,PASS
square:R1:L1:381,381,Alt ♮25♭67,R1,L1,381,381,191,761,true,PASS
square:R1:L1:445,445,Alt ♮2♭♭5♭6♭♭♭7,R1,L1,445,445,223,889,true,PASS
square:R1:L1:477,477,Alt ♮2𝄫6♭𝄫7,R1,L1,477,477,239,953,true,PASS
square:R1:L1:493,493,Locrian ♮2♭♭6♭♭♭7,R1,L1,493,493,247,985,true,PASS
square:R1:L1:501,501,Major Locrian 6♭7,R1,L1,501,501,251,1001,true,PASS
square:R1:L1:505,505,7-3 rooted state 505,R1,L1,505,505,253,1009,true,PASS
square:R1:L1:637,637,Debussy's Heptatonic,R1,L1,637,637,319,1273,true,PASS
square:R1:L1:701,701,Alt ♮2♭♭567,R1,L1,701,701,351,1401,true,PASS
square:R1:L1:733,733,Superlocrian ♮2♭♭6♭♭7,R1,L1,733,733,367,1465,true,PASS
square:R1:L1:749,749,Locrian ♮2♭♭6♭♭7,R1,L1,749,749,375,1497,true,PASS
square:R1:L1:757,757,Lipsean Mode II,R1,L1,757,757,379,1513,true,PASS
square:R1:L1:761,761,Major Locrian ♯267,R1,L1,761,761,381,1521,true,PASS
square:R1:L1:829,829,7-Z18 rooted state 829,R1,L1,829,829,415,1657,true,PASS
square:R1:L1:861,861,Superlocrian ♮2𝄫7,R1,L1,861,861,431,1721,true,PASS
square:R1:L1:877,877,Hungarian Major Inverse,R1,L1,877,877,439,1753,true,PASS
square:R1:L1:885,885,Major Locrian 𝄫7,R1,L1,885,885,443,1769,true,PASS
square:R1:L1:889,889,Scale 889,R1,L1,889,889,445,1777,true,PASS
square:R1:L1:925,925,Chromatic Hypodorian,R1,L1,925,925,463,1849,true,PASS
square:R1:L1:941,941,Rāga Jhankara Bhramavi,R1,L1,941,941,471,1881,true,PASS
square:R1:L1:949,949,Mararanjani,R1,L1,949,949,475,1897,true,PASS
square:R1:L1:953,953,Rāga Kalahamsa,R1,L1,953,953,477,1905,true,PASS
square:R1:L1:973,973,7-19 rooted state 973,R1,L1,973,973,487,1945,true,PASS
square:R1:L1:981,981,Mela Kantamani,R1,L1,981,981,491,1961,true,PASS
square:R1:L1:985,985,Scale 985,R1,L1,985,985,493,1969,true,PASS
square:R1:L1:997,997,Tanarupi IV,R1,L1,997,997,499,1993,true,PASS
square:R1:L1:1001,1001,Lydian ♯2♯3♭67,R1,L1,1001,1001,501,2001,true,PASS
square:R1:L1:1009,1009,7-3 rooted state 1009,R1,L1,1009,1009,505,2017,true,PASS
square:R1:L1:1149,1149,Alt ♮25♭6,R1,L1,1149,1149,575,2297,true,PASS
square:R1:L1:1213,1213,Alt ♮2♭♭5♭6,R1,L1,1213,1213,607,2425,true,PASS
square:R1:L1:1245,1245,Alt ♮26,R1,L1,1245,1245,623,2489,true,PASS
square:R1:L1:1261,1261,Modified Blues,R1,L1,1261,1261,631,2521,true,PASS
square:R1:L1:1269,1269,Major Locrian ♭♭6,R1,L1,1269,1269,635,2537,true,PASS
square:R1:L1:1273,1273,Tanarupi V,R1,L1,1273,1273,637,2545,true,PASS
square:R1:L1:1341,1341,Alt ♮2♭♭5,R1,L1,1341,1341,671,2681,true,PASS
square:R1:L1:1373,1373,Storian,R1,L1,1373,1373,687,2745,true,PASS
square:R1:L1:1389,1389,Half-Diminished,R1,L1,1389,1389,695,2777,true,PASS
square:R1:L1:1397,1397,Major Locrian,R1,L1,1397,1397,699,2793,true,PASS
