cycle_id,representative_id,cycle_length,closes_at_source,minimal_period_seven,member_ids,member_names,forte,orientation,chirality,role,fine_role,tier,office_bearing,office_sequence,office_delta_sequence,office_plus_two_every_step,result
modal-cycle:127,127,7,true,true,127;2111;3103;3599;3847;3971;4033,7-1 terminal cluster state 127;7-1 terminal cluster state 2111;7-1 terminal cluster state 3103;7-1 terminal cluster state 3599;7-1 terminal cluster state 3847;7-1 terminal cluster state 3971;7-1 terminal cluster state 4033,7-1,7-1 single orientation,achiral,anchor,terminal_anchor_D7,D7,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:191,191,7,true,true,191;2143;3119;3607;3851;3973;2017,Ultra-Alt 67;Alt ♮734♭56;Alt ♮7♯6345;Alt ♮7♯653;Phrygian +5♯4;Superlydian Augmented ♮25♯34;Dominant +34♯2,7-2,7-2 orientation A,chiral,satellite,satellite_D6,D6,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:223,223,7,true,true,223;2159;3127;3611;3853;1987;3041,Scale 223;7-4 rooted state 2159;7-4 rooted state 3127;7-4 rooted state 3611;7-4 rooted state 3853;7-4 rooted state 1987;Scale 3041,7-4,7-4 orientation A,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:239,239,7,true,true,239;2167;3131;3613;1927;3011;3553,Infra-Alt 6𝄫𝄫7;7-5 rooted state 2167;7-5 rooted state 3131;7-5 rooted state 3613;7-5 rooted state 1927;7-5 rooted state 3011;Scale 3553,7-5,7-5 orientation A,chiral,boundary,peripheral_leaf,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:247,247,7,true,true,247;2171;3133;1807;2951;3523;3809,Scale 247;7-5 rooted state 2171;7-5 rooted state 3133;7-5 rooted state 1807;7-5 rooted state 2951;7-5 rooted state 3523;Borean Mode I,7-5,7-5 orientation B,chiral,boundary,peripheral_leaf,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:251,251,7,true,true,251;2173;1567;2831;3463;3779;3937,Scale 251;7-4 rooted state 2173;7-4 rooted state 1567;7-4 rooted state 2831;7-4 rooted state 3463;7-4 rooted state 3779;Scale 3937,7-4,7-4 orientation B,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:253,253,7,true,true,253;1087;2591;3343;3719;3907;4001,Alt ♮25♭67;Infra-Alt 5♭76;Quixotic;Phrygian +34;Phrygian +𝄫3𝄪45;YUTian;Superlydian Augmented ♯2♯3♯45,7-2,7-2 orientation B,chiral,satellite,satellite_D6,D6,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:319,319,7,true,true,319;2207;3151;3623;3859;3977;1009,7-3 rooted state 319;7-3 rooted state 2207;7-3 rooted state 3151;7-3 rooted state 3623;7-3 rooted state 3859;Scale 3977;7-3 rooted state 1009,7-3,7-3 orientation A,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:351,351,7,true,true,351;2223;3159;3627;3861;1989;1521,Infra-Alt 567;Arcadian Minor;Alt ♮7♯6𝄫3;Neapolitan Maj 5♯6;Ionian ♯45♯6;Dominant +34;Lydian 7♭6♯32,7-9,7-9 orientation A,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:367,367,7,true,true,367;2231;3163;3629;1931;3013;1777,Infra-Alt 67;Arcadian;Alt ♮7♯6;Melodic 𝄪5♯6;Dorian +♭2𝄪4;Ionian +𝄪34;Lydian ♭7♯3𝄪2,7-Z36,7-Z36 orientation A,chiral,boundary,oriented_convergence,,false,boundary;boundary;boundary;boundary;boundary;boundary;boundary,,true,PASS
modal-cycle:375,375,7,true,true,375;2235;3165;1815;2955;3525;1905,Scale 375;Exotic Minor;Scale 3165;Scale 1815;Neapolitan Maj 𝄪4♯5;Scale 3525;Lydian 7+♯3𝄪2,7-13,7-13 orientation A,chiral,satellite,satellite_D4,D4,true,Venus;Sun;Mars;Jupiter;Saturn;Moon;Mercury,2;2;2;2;2;2;2,true,PASS
modal-cycle:379,379,7,true,true,379;2237;1583;2839;3467;3781;1969,Kaikian Mode II;Alt ♮27♭♭56;Alt ♮6♭♭3♭4♭5;Kaikian Mode V;Phrygian +𝄪4;Kaikian Mode VII;Dominant +♯3𝄪2♭4,7-11,7-11 orientation A,chiral,satellite,satellite_D3,D3,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:381,381,7,true,true,381;1119;2607;3351;3723;3909;2001,Alt ♮25♭67;Infra-Alt 56♭7;Alt ♮67345;Crater Scale;Phrygian +45;Superlydian Augmented ♮235♯4;Dominant +234,7-8,7-8 single orientation,achiral,anchor,anchor_D6,D6,true,Jupiter;Saturn;Moon;Mercury;Venus;Sun;Mars,2;2;2;2;2;2;2,true,PASS
modal-cycle:415,415,7,true,true,415;2255;3175;3635;3865;995;2545,Infra-Alt 57;Alt ♮7346;Locrian 3♯6♮7;Ionian ♭25♯6;Ionian ♯2♯45♯6;Lydian ♭2♯3♭67;Lydian 2♯3♭6,7-6,7-6 orientation A,chiral,satellite,satellite_D5,D5,true,Saturn;Moon;Mercury;Venus;Sun;Mars;Jupiter,2;2;2;2;2;2;2,true,PASS
