witness_id,operator_id,inverse_operator_id,source_id,intermediate_id,returned_id,result,witness_type
inverse:M:127,M,M^6,127,2111,127,PASS,finite_order_inverse
inverse:M:191,M,M^6,191,2143,191,PASS,finite_order_inverse
inverse:M:223,M,M^6,223,2159,223,PASS,finite_order_inverse
inverse:M:239,M,M^6,239,2167,239,PASS,finite_order_inverse
inverse:M:247,M,M^6,247,2171,247,PASS,finite_order_inverse
inverse:M:251,M,M^6,251,2173,251,PASS,finite_order_inverse
inverse:M:253,M,M^6,253,1087,253,PASS,finite_order_inverse
inverse:M:319,M,M^6,319,2207,319,PASS,finite_order_inverse
inverse:M:351,M,M^6,351,2223,351,PASS,finite_order_inverse
inverse:M:367,M,M^6,367,2231,367,PASS,finite_order_inverse
inverse:M:375,M,M^6,375,2235,375,PASS,finite_order_inverse
inverse:M:379,M,M^6,379,2237,379,PASS,finite_order_inverse
inverse:M:381,M,M^6,381,1119,381,PASS,finite_order_inverse
inverse:M:415,M,M^6,415,2255,415,PASS,finite_order_inverse
inverse:M:431,M,M^6,431,2263,431,PASS,finite_order_inverse
inverse:M:439,M,M^6,439,2267,439,PASS,finite_order_inverse
inverse:M:443,M,M^6,443,2269,443,PASS,finite_order_inverse
inverse:M:445,M,M^6,445,1135,445,PASS,finite_order_inverse
inverse:M:463,M,M^6,463,2279,463,PASS,finite_order_inverse
inverse:M:471,M,M^6,471,2283,471,PASS,finite_order_inverse
inverse:M:475,M,M^6,475,2285,475,PASS,finite_order_inverse
inverse:M:477,M,M^6,477,1143,477,PASS,finite_order_inverse
inverse:M:487,M,M^6,487,2291,487,PASS,finite_order_inverse
inverse:M:491,M,M^6,491,2293,491,PASS,finite_order_inverse
inverse:M:493,M,M^6,493,1147,493,PASS,finite_order_inverse
inverse:M:499,M,M^6,499,2297,499,PASS,finite_order_inverse
inverse:M:501,M,M^6,501,1149,501,PASS,finite_order_inverse
inverse:M:505,M,M^6,505,575,505,PASS,finite_order_inverse
inverse:M:575,M,M^6,575,2335,575,PASS,finite_order_inverse
inverse:M:607,M,M^6,607,2351,607,PASS,finite_order_inverse
inverse:M:623,M,M^6,623,2359,623,PASS,finite_order_inverse
inverse:M:631,M,M^6,631,2363,631,PASS,finite_order_inverse
inverse:M:635,M,M^6,635,2365,635,PASS,finite_order_inverse
inverse:M:637,M,M^6,637,1183,637,PASS,finite_order_inverse
inverse:M:671,M,M^6,671,2383,671,PASS,finite_order_inverse
inverse:M:687,M,M^6,687,2391,687,PASS,finite_order_inverse
inverse:M:695,M,M^6,695,2395,695,PASS,finite_order_inverse
inverse:M:699,M,M^6,699,2397,699,PASS,finite_order_inverse
inverse:M:701,M,M^6,701,1199,701,PASS,finite_order_inverse
inverse:M:719,M,M^6,719,2407,719,PASS,finite_order_inverse
inverse:M:727,M,M^6,727,2411,727,PASS,finite_order_inverse
inverse:M:731,M,M^6,731,2413,731,PASS,finite_order_inverse
inverse:M:733,M,M^6,733,1207,733,PASS,finite_order_inverse
inverse:M:743,M,M^6,743,2419,743,PASS,finite_order_inverse
inverse:M:747,M,M^6,747,2421,747,PASS,finite_order_inverse
inverse:M:749,M,M^6,749,1211,749,PASS,finite_order_inverse
inverse:M:755,M,M^6,755,2425,755,PASS,finite_order_inverse
inverse:M:757,M,M^6,757,1213,757,PASS,finite_order_inverse
inverse:M:761,M,M^6,761,607,761,PASS,finite_order_inverse
inverse:M:799,M,M^6,799,2447,799,PASS,finite_order_inverse
inverse:M:815,M,M^6,815,2455,815,PASS,finite_order_inverse
inverse:M:823,M,M^6,823,2459,823,PASS,finite_order_inverse
inverse:M:827,M,M^6,827,2461,827,PASS,finite_order_inverse
inverse:M:829,M,M^6,829,1231,829,PASS,finite_order_inverse
inverse:M:847,M,M^6,847,2471,847,PASS,finite_order_inverse
inverse:M:855,M,M^6,855,2475,855,PASS,finite_order_inverse
inverse:M:859,M,M^6,859,2477,859,PASS,finite_order_inverse
inverse:M:861,M,M^6,861,1239,861,PASS,finite_order_inverse
inverse:M:871,M,M^6,871,2483,871,PASS,finite_order_inverse
inverse:M:875,M,M^6,875,2485,875,PASS,finite_order_inverse
inverse:M:877,M,M^6,877,1243,877,PASS,finite_order_inverse
inverse:M:883,M,M^6,883,2489,883,PASS,finite_order_inverse
inverse:M:885,M,M^6,885,1245,885,PASS,finite_order_inverse
inverse:M:889,M,M^6,889,623,889,PASS,finite_order_inverse
inverse:M:911,M,M^6,911,2503,911,PASS,finite_order_inverse
inverse:M:919,M,M^6,919,2507,919,PASS,finite_order_inverse
inverse:M:923,M,M^6,923,2509,923,PASS,finite_order_inverse
inverse:M:925,M,M^6,925,1255,925,PASS,finite_order_inverse
inverse:M:935,M,M^6,935,2515,935,PASS,finite_order_inverse
inverse:M:939,M,M^6,939,2517,939,PASS,finite_order_inverse
inverse:M:941,M,M^6,941,1259,941,PASS,finite_order_inverse
inverse:M:947,M,M^6,947,2521,947,PASS,finite_order_inverse
inverse:M:949,M,M^6,949,1261,949,PASS,finite_order_inverse
inverse:M:953,M,M^6,953,631,953,PASS,finite_order_inverse
