application_id,source_id,source_name,source_role,source_tier,source_office,target_id,target_name,target_role,target_tier,target_office,canonical_modal_successor_projected,structural_edge_ids,projection_status
M:127:2111,127,7-1 terminal cluster state 127,anchor,D7,Jupiter,2111,7-1 terminal cluster state 2111,anchor,D7,Saturn,true,modal:D7:127:2111,canonical_modal_edge_projected
M:191:2143,191,Ultra-Alt 67,satellite,D6,Jupiter,2143,Alt ♮734♭56,satellite,D6,Saturn,true,modal:D6-satellite:7-2:1:191:2143,canonical_modal_edge_projected
M:223:2159,223,Scale 223,boundary,,,2159,7-4 rooted state 2159,boundary,,,false,,unprojected_formal_modal_application
M:239:2167,239,Infra-Alt 6𝄫𝄫7,boundary,,,2167,7-5 rooted state 2167,boundary,,,false,,unprojected_formal_modal_application
M:247:2171,247,Scale 247,boundary,,,2171,7-5 rooted state 2171,boundary,,,false,,unprojected_formal_modal_application
M:251:2173,251,Scale 251,boundary,,,2173,7-4 rooted state 2173,boundary,,,false,,unprojected_formal_modal_application
M:253:1087,253,Alt ♮25♭67,satellite,D6,Jupiter,1087,Infra-Alt 5♭76,satellite,D6,Saturn,true,modal:D6-satellite:7-2:2:253:1087,canonical_modal_edge_projected
M:319:2207,319,7-3 rooted state 319,boundary,,,2207,7-3 rooted state 2207,boundary,,,false,,unprojected_formal_modal_application
M:351:2223,351,Infra-Alt 567,boundary,,,2223,Arcadian Minor,boundary,,,false,,unprojected_formal_modal_application
M:367:2231,367,Infra-Alt 67,boundary,,,2231,Arcadian,boundary,,,false,,unprojected_formal_modal_application
M:375:2235,375,Scale 375,satellite,D4,Venus,2235,Exotic Minor,satellite,D4,Sun,true,modal:D4-satellite:7-13:1:375:2235,canonical_modal_edge_projected
M:379:2237,379,Kaikian Mode II,satellite,D3,Jupiter,2237,Alt ♮27♭♭56,satellite,D3,Saturn,true,modal:D3-satellite:7-11:1:379:2237,canonical_modal_edge_projected
M:381:1119,381,Alt ♮25♭67,anchor,D6,Jupiter,1119,Infra-Alt 56♭7,anchor,D6,Saturn,true,modal:D6:381:1119,canonical_modal_edge_projected
M:415:2255,415,Infra-Alt 57,satellite,D5,Saturn,2255,Alt ♮7346,satellite,D5,Moon,true,modal:D5-satellite:7-6:1:415:2255,canonical_modal_edge_projected
M:431:2263,431,Infra-Alt 7,boundary,,,2263,Phlegmatic Minor,boundary,,,false,,unprojected_formal_modal_application
M:439:2267,439,Infra-Alt 7♭4,satellite,D2,Jupiter,2267,Scale 2267,satellite,D2,Saturn,true,modal:D2-satellite:7-Z38:1:439:2267,canonical_modal_edge_projected
M:443:2269,443,Alt ♭♭5♭♭6♭♭♭7,anchor,D3,Jupiter,2269,Nomadic Minor,anchor,D3,Saturn,true,modal:D3:443:2269,canonical_modal_edge_projected
M:445:1135,445,Alt ♮2♭♭5♭6♭♭♭7,satellite,D3,Jupiter,1135,Eurean Mode III,satellite,D3,Saturn,true,modal:D3-satellite:7-11:2:445:1135,canonical_modal_edge_projected
M:463:2279,463,Scale 463,satellite,D2,Jupiter,2279,Scale 2279,satellite,D2,Saturn,true,modal:D2-satellite:7-7:1:463:2279,canonical_modal_edge_projected
M:471:2283,471,Alt 3·6·♭7,anchor,D2,Jupiter,2283,Pacific Minor,anchor,D2,Saturn,true,modal:D2:471:2283,canonical_modal_edge_projected
M:475:2285,475,Alt 6♭7,satellite,D2,Jupiter,2285,Supine,satellite,D2,Saturn,true,modal:D2-satellite:7-Z38:2:475:2285,canonical_modal_edge_projected
M:477:1143,477,Alt ♮2𝄫6♭𝄫7,satellite,D4,Mercury,1143,Scale 1143,satellite,D4,Venus,true,modal:D4-satellite:7-13:2:477:1143,canonical_modal_edge_projected
M:487:2291,487,Scale 487,satellite,D2,Jupiter,2291,Scale 2291,satellite,D2,Saturn,true,modal:D2-satellite:7-7:2:487:2291,canonical_modal_edge_projected
M:491:2293,491,Locrian ♭♭6♭♭♭7,boundary,,,2293,Bucolic,boundary,,,false,,unprojected_formal_modal_application
M:493:1147,493,Locrian ♮2♭♭6♭♭♭7,boundary,,,1147,Alt double-flat 5 / flat–double-flat 6,boundary,,,false,,unprojected_formal_modal_application
M:499:2297,499,Major Locrian ♭26♭7,satellite,D5,Mars,2297,Raghupriya V,satellite,D5,Jupiter,true,modal:D5-satellite:7-6:2:499:2297,canonical_modal_edge_projected
M:501:1149,501,Major Locrian 6♭7,boundary,,,1149,Alt ♮25♭6,boundary,,,false,,unprojected_formal_modal_application
M:505:575,505,7-3 rooted state 505,boundary,,,575,Scale 575,boundary,,,false,,unprojected_formal_modal_application
M:575:2335,575,Scale 575,boundary,,,2335,7-3 rooted state 2335,boundary,,,false,,unprojected_formal_modal_application
M:607:2351,607,Infra-Alt 56,satellite,D5,Saturn,2351,Alt ♮7345,satellite,D5,Moon,true,modal:D5-satellite:7-10:1:607:2351,canonical_modal_edge_projected
M:623:2359,623,Infra-Alt 6,satellite,D4,Venus,2359,Unorthodox Minor,satellite,D4,Sun,true,modal:D4-satellite:7-16:1:623:2359,canonical_modal_edge_projected
