witness_id,source_id,operator_id,conjugate_operator_id,left_path,right_path,left_defined,right_defined,left_target_id,right_target_id,domain_matches,target_matches,result
covariance:R1:127,127,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:191,191,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:223,223,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:239,239,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:247,247,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:251,251,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:253,253,R1,R7,R1;M,M;R7,true,true,2111,2111,true,true,PASS
covariance:R1:319,319,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:351,351,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:367,367,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:375,375,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:379,379,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:381,381,R1,R7,R1;M,M;R7,true,true,2143,2143,true,true,PASS
covariance:R1:415,415,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:431,431,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:439,439,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:443,443,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:445,445,R1,R7,R1;M,M;R7,true,true,2159,2159,true,true,PASS
covariance:R1:463,463,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:471,471,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:475,475,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:477,477,R1,R7,R1;M,M;R7,true,true,2167,2167,true,true,PASS
covariance:R1:487,487,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:491,491,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:493,493,R1,R7,R1;M,M;R7,true,true,2171,2171,true,true,PASS
covariance:R1:499,499,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:501,501,R1,R7,R1;M,M;R7,true,true,2173,2173,true,true,PASS
covariance:R1:505,505,R1,R7,R1;M,M;R7,true,true,1087,1087,true,true,PASS
covariance:R1:575,575,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:607,607,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:623,623,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:631,631,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:635,635,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:637,637,R1,R7,R1;M,M;R7,true,true,2207,2207,true,true,PASS
covariance:R1:671,671,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:687,687,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:695,695,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:699,699,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:701,701,R1,R7,R1;M,M;R7,true,true,2223,2223,true,true,PASS
covariance:R1:719,719,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:727,727,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:731,731,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:733,733,R1,R7,R1;M,M;R7,true,true,2231,2231,true,true,PASS
covariance:R1:743,743,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:747,747,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:749,749,R1,R7,R1;M,M;R7,true,true,2235,2235,true,true,PASS
covariance:R1:755,755,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:757,757,R1,R7,R1;M,M;R7,true,true,2237,2237,true,true,PASS
covariance:R1:761,761,R1,R7,R1;M,M;R7,true,true,1119,1119,true,true,PASS
covariance:R1:799,799,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:815,815,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:823,823,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:827,827,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:829,829,R1,R7,R1;M,M;R7,true,true,2255,2255,true,true,PASS
covariance:R1:847,847,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:855,855,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:859,859,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:861,861,R1,R7,R1;M,M;R7,true,true,2263,2263,true,true,PASS
covariance:R1:871,871,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
covariance:R1:875,875,R1,R7,R1;M,M;R7,false,false,,,true,true,PASS
