operator_id,notation,name,operator_class,degree,degree_governor,direction,delta_semitones,domain_rule,action,inverse_operator_id,conjugate_operator_id,partial,status,application_count,domain_size,image_size,structural_support_count,field_support_count
M,M,Modal successor,modal_re_rooting,,,successor,,All rooted weight-seven states.,Re-root the unchanged pitch-class set at its next ascending scale tone.,M^6,M,false,structurally_validated,462,462,462,182,0
R1,R_1,Raise root phase by one semitone,root_phase,1,Saturn,raise,1,Defined when pitch class 1 is absent; replace root 0 with 1 and renormalize by -1.,"Move the tonic seam one semitone, retain the other six absolute pitches, then renormalize the new root to 0.",L1,R7,true,structurally_validated,210,210,210,29,175
L1,L_1,Lower root phase by one semitone,root_phase,1,Saturn,lower,-1,Defined when pitch class 11 is absent; replace root 0 with 11 and renormalize by +1.,"Move the tonic seam one semitone, retain the other six absolute pitches, then renormalize the new root to 0.",R1,L7,true,structurally_validated,210,210,210,29,175
R2,R_2,Raise Degree 2 by one semitone,fixed_degree_shift,2,Jupiter,raise,1,Defined when Degree 2 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 2 by +1 semitone.,L2,R1,true,structurally_validated,210,210,210,29,25
L2,L_2,Lower Degree 2 by one semitone,fixed_degree_shift,2,Jupiter,lower,-1,Defined when Degree 2 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 2 by -1 semitone.,R2,L1,true,structurally_validated,210,210,210,29,25
R3,R_3,Raise Degree 3 by one semitone,fixed_degree_shift,3,Mars,raise,1,Defined when Degree 3 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 3 by +1 semitone.,L3,R2,true,structurally_validated,210,210,210,29,25
L3,L_3,Lower Degree 3 by one semitone,fixed_degree_shift,3,Mars,lower,-1,Defined when Degree 3 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 3 by -1 semitone.,R3,L2,true,structurally_validated,210,210,210,29,25
R4,R_4,Raise Degree 4 by one semitone,fixed_degree_shift,4,Sun,raise,1,Defined when Degree 4 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 4 by +1 semitone.,L4,R3,true,structurally_validated,210,210,210,29,25
L4,L_4,Lower Degree 4 by one semitone,fixed_degree_shift,4,Sun,lower,-1,Defined when Degree 4 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 4 by -1 semitone.,R4,L3,true,structurally_validated,210,210,210,29,25
R5,R_5,Raise Degree 5 by one semitone,fixed_degree_shift,5,Venus,raise,1,Defined when Degree 5 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 5 by +1 semitone.,L5,R4,true,structurally_validated,210,210,210,29,25
L5,L_5,Lower Degree 5 by one semitone,fixed_degree_shift,5,Venus,lower,-1,Defined when Degree 5 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 5 by -1 semitone.,R5,L4,true,structurally_validated,210,210,210,29,25
R6,R_6,Raise Degree 6 by one semitone,fixed_degree_shift,6,Mercury,raise,1,Defined when Degree 6 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 6 by +1 semitone.,L6,R5,true,structurally_validated,210,210,210,29,25
L6,L_6,Lower Degree 6 by one semitone,fixed_degree_shift,6,Mercury,lower,-1,Defined when Degree 6 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 6 by -1 semitone.,R6,L5,true,structurally_validated,210,210,210,29,25
R7,R_7,Raise Degree 7 by one semitone,fixed_degree_shift,7,Moon,raise,1,Defined when Degree 7 can move up one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 7 by +1 semitone.,L7,R6,true,structurally_validated,210,210,210,29,25
L7,L_7,Lower Degree 7 by one semitone,fixed_degree_shift,7,Moon,lower,-1,Defined when Degree 7 can move down one semitone without collision or crossing the rooted boundary.,Replace the pitch at ordered Degree 7 by -1 semitone.,R7,L6,true,structurally_validated,210,210,210,29,25
