pair_id,raise_source_id,raise_source_name,raise_target_id,raise_target_name,inverse_operator_id,field_phase_shift_projected,field_edge_ids,structural_root_phase_projected,structural_edge_ids,projection_status
phase-pair:127:253,253,Alt ♮25♭67,127,7-1 terminal cluster state 127,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:191:381,381,Alt ♮25♭67,191,Ultra-Alt 67,L1,true,audit:phase:191:381,true,governs:D6:381:191:1,phase_field_projected
phase-pair:223:445,445,Alt ♮2♭♭5♭6♭♭♭7,223,Scale 223,L1,true,audit:phase:223:445,false,,phase_field_projected
phase-pair:239:477,477,Alt ♮2𝄫6♭𝄫7,239,Infra-Alt 6𝄫𝄫7,L1,true,audit:phase:239:477,false,,phase_field_projected
phase-pair:247:493,493,Locrian ♮2♭♭6♭♭♭7,247,Scale 247,L1,true,audit:phase:247:493,false,,phase_field_projected
phase-pair:251:501,501,Major Locrian 6♭7,251,Scale 251,L1,true,audit:phase:251:501,false,,phase_field_projected
phase-pair:253:505,505,7-3 rooted state 505,253,Alt ♮25♭67,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:319:637,637,Debussy's Heptatonic,319,7-3 rooted state 319,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:351:701,701,Alt ♮2♭♭567,351,Infra-Alt 567,L1,true,audit:phase:351:701,false,,phase_field_projected
phase-pair:367:733,733,Superlocrian ♮2♭♭6♭♭7,367,Infra-Alt 67,L1,true,audit:phase:367:733,false,,phase_field_projected
phase-pair:375:749,749,Locrian ♮2♭♭6♭♭7,375,Scale 375,L1,true,audit:phase:375:749,false,,phase_field_projected
phase-pair:379:757,757,Lipsean Mode II,379,Kaikian Mode II,L1,true,audit:phase:379:757,false,,phase_field_projected
phase-pair:381:761,761,Major Locrian ♯267,381,Alt ♮25♭67,L1,true,audit:phase:381:761,false,,phase_field_projected
phase-pair:415:829,829,7-Z18 rooted state 829,415,Infra-Alt 57,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:431:861,861,Superlocrian ♮2𝄫7,431,Infra-Alt 7,L1,true,audit:phase:431:861,false,,phase_field_projected
phase-pair:439:877,877,Hungarian Major Inverse,439,Infra-Alt 7♭4,L1,true,audit:phase:439:877,false,,phase_field_projected
phase-pair:443:885,885,Major Locrian 𝄫7,443,Alt ♭♭5♭♭6♭♭♭7,L1,true,audit:phase:443:885,false,,phase_field_projected
phase-pair:445:889,889,Scale 889,445,Alt ♮2♭♭5♭6♭♭♭7,L1,true,audit:phase:445:889,false,,phase_field_projected
phase-pair:463:925,925,Chromatic Hypodorian,463,Scale 463,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:471:941,941,Rāga Jhankara Bhramavi,471,Alt 3·6·♭7,L1,true,audit:phase:471:941,false,,phase_field_projected
phase-pair:475:949,949,Mararanjani,475,Alt 6♭7,L1,true,audit:phase:475:949,false,,phase_field_projected
phase-pair:477:953,953,Rāga Kalahamsa,477,Alt ♮2𝄫6♭𝄫7,L1,true,audit:phase:477:953,true,governs:D4:953:477:1,phase_field_projected
phase-pair:487:973,973,7-19 rooted state 973,487,Scale 487,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:491:981,981,Mela Kantamani,491,Locrian ♭♭6♭♭♭7,L1,true,audit:phase:491:981,false,,phase_field_projected
phase-pair:493:985,985,Scale 985,493,Locrian ♮2♭♭6♭♭♭7,L1,true,audit:phase:493:985,false,,phase_field_projected
phase-pair:499:997,997,Tanarupi IV,499,Major Locrian ♭26♭7,L1,false,,true,governs:D5:997:499:1,structural_only
phase-pair:501:1001,1001,Lydian ♯2♯3♭67,501,Major Locrian 6♭7,L1,true,audit:phase:501:1001,false,,phase_field_projected
phase-pair:505:1009,1009,7-3 rooted state 1009,505,7-3 rooted state 505,L1,false,,false,,unprojected_formal_phase_pair
phase-pair:575:1149,1149,Alt ♮25♭6,575,Scale 575,L1,true,audit:phase:575:1149,false,,phase_field_projected
phase-pair:607:1213,1213,Alt ♮2♭♭5♭6,607,Infra-Alt 56,L1,true,audit:phase:607:1213,false,,phase_field_projected
phase-pair:623:1245,1245,Alt ♮26,623,Infra-Alt 6,L1,true,audit:phase:623:1245,false,,phase_field_projected
phase-pair:631:1261,1261,Modified Blues,631,Infra-Alt 6♭4,L1,true,audit:phase:631:1261,false,,phase_field_projected
phase-pair:635:1269,1269,Major Locrian ♭♭6,635,Scale 635,L1,true,audit:phase:635:1269,false,,phase_field_projected
phase-pair:637:1273,1273,Tanarupi V,637,Debussy's Heptatonic,L1,false,,true,governs:D5:1273:637:1,structural_only
phase-pair:671:1341,1341,Alt ♮2♭♭5,671,Infra-Alt 5,L1,true,audit:phase:671:1341,false,,phase_field_projected
phase-pair:687:1373,1373,Storian,687,Alt ♭♭3♭♭4♭♭5♭♭6♭♭7,L1,true,audit:phase:687:1373,true,governs:A2:1373:687:1,phase_field_projected
