operator_id,formal_applications,structural_projection,field_projection,union_projection,unprojected_applications,union_coverage_rate,interpretation
M,462,182,0,182,280,0.393939,Canonical MODAL_SUCCESSOR projection versus the total modal operator.
R1,210,29,175,180,30,0.857143,Canonical PHASE_SHIFT plus root-phase structural evidence versus the complete phase operator.
L1,210,29,175,180,30,0.857143,Canonical PHASE_SHIFT plus root-phase structural evidence versus the complete phase operator.
R2,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
L2,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
R3,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
L3,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
R4,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
L4,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
R5,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
L5,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
R6,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
L6,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
R7,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
L7,210,29,25,44,166,0.209524,Selected structural and anchor-audit evidence versus the complete fixed-degree operator.
