operator_id,property,applications,applicable_count,pass_count,fail_count,pass_rate,classification
M,rooted_weight_seven,462,462,462,0,1.000000,invariant_or_covariant
M,forte_family,462,462,462,0,1.000000,invariant_or_covariant
M,orientation,462,462,462,0,1.000000,invariant_or_covariant
M,chirality,462,462,462,0,1.000000,invariant_or_covariant
M,role,462,462,462,0,1.000000,invariant_or_covariant
M,fine_role,462,462,462,0,1.000000,invariant_or_covariant
M,tier,462,462,462,0,1.000000,invariant_or_covariant
M,office_bearing_status,462,462,462,0,1.000000,invariant_or_covariant
M,exact_office,462,462,154,308,0.333333,conditional
M,office_plus_two_mod_7,462,308,308,0,1.000000,invariant_or_covariant
R1,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
R1,forte_family,210,210,10,200,0.047619,conditional
R1,orientation,210,210,1,209,0.004762,conditional
R1,chirality,210,210,152,58,0.723810,conditional
R1,role,210,210,84,126,0.400000,conditional
R1,fine_role,210,210,24,186,0.114286,conditional
R1,tier,210,210,72,138,0.342857,conditional
R1,office_bearing_status,210,210,142,68,0.676190,conditional
R1,exact_office,210,210,80,130,0.380952,conditional
R1,office_plus_two_mod_7,210,112,0,112,0.000000,not_preserved
L1,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
L1,forte_family,210,210,10,200,0.047619,conditional
L1,orientation,210,210,1,209,0.004762,conditional
L1,chirality,210,210,152,58,0.723810,conditional
L1,role,210,210,84,126,0.400000,conditional
L1,fine_role,210,210,24,186,0.114286,conditional
L1,tier,210,210,72,138,0.342857,conditional
L1,office_bearing_status,210,210,142,68,0.676190,conditional
L1,exact_office,210,210,80,130,0.380952,conditional
L1,office_plus_two_mod_7,210,112,8,104,0.071429,conditional
R2,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
R2,forte_family,210,210,10,200,0.047619,conditional
R2,orientation,210,210,1,209,0.004762,conditional
R2,chirality,210,210,152,58,0.723810,conditional
R2,role,210,210,84,126,0.400000,conditional
R2,fine_role,210,210,24,186,0.114286,conditional
R2,tier,210,210,72,138,0.342857,conditional
R2,office_bearing_status,210,210,142,68,0.676190,conditional
R2,exact_office,210,210,80,130,0.380952,conditional
R2,office_plus_two_mod_7,210,112,0,112,0.000000,not_preserved
L2,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
L2,forte_family,210,210,10,200,0.047619,conditional
L2,orientation,210,210,1,209,0.004762,conditional
L2,chirality,210,210,152,58,0.723810,conditional
L2,role,210,210,84,126,0.400000,conditional
L2,fine_role,210,210,24,186,0.114286,conditional
L2,tier,210,210,72,138,0.342857,conditional
L2,office_bearing_status,210,210,142,68,0.676190,conditional
L2,exact_office,210,210,80,130,0.380952,conditional
L2,office_plus_two_mod_7,210,112,8,104,0.071429,conditional
R3,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
R3,forte_family,210,210,10,200,0.047619,conditional
R3,orientation,210,210,1,209,0.004762,conditional
R3,chirality,210,210,152,58,0.723810,conditional
R3,role,210,210,84,126,0.400000,conditional
R3,fine_role,210,210,24,186,0.114286,conditional
R3,tier,210,210,72,138,0.342857,conditional
R3,office_bearing_status,210,210,142,68,0.676190,conditional
R3,exact_office,210,210,80,130,0.380952,conditional
R3,office_plus_two_mod_7,210,112,0,112,0.000000,not_preserved
L3,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
L3,forte_family,210,210,10,200,0.047619,conditional
L3,orientation,210,210,1,209,0.004762,conditional
L3,chirality,210,210,152,58,0.723810,conditional
L3,role,210,210,84,126,0.400000,conditional
L3,fine_role,210,210,24,186,0.114286,conditional
L3,tier,210,210,72,138,0.342857,conditional
L3,office_bearing_status,210,210,142,68,0.676190,conditional
L3,exact_office,210,210,80,130,0.380952,conditional
L3,office_plus_two_mod_7,210,112,8,104,0.071429,conditional
R4,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
R4,forte_family,210,210,10,200,0.047619,conditional
R4,orientation,210,210,1,209,0.004762,conditional
R4,chirality,210,210,152,58,0.723810,conditional
R4,role,210,210,84,126,0.400000,conditional
R4,fine_role,210,210,24,186,0.114286,conditional
R4,tier,210,210,72,138,0.342857,conditional
R4,office_bearing_status,210,210,142,68,0.676190,conditional
R4,exact_office,210,210,80,130,0.380952,conditional
R4,office_plus_two_mod_7,210,112,0,112,0.000000,not_preserved
L4,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
L4,forte_family,210,210,10,200,0.047619,conditional
L4,orientation,210,210,1,209,0.004762,conditional
L4,chirality,210,210,152,58,0.723810,conditional
L4,role,210,210,84,126,0.400000,conditional
L4,fine_role,210,210,24,186,0.114286,conditional
L4,tier,210,210,72,138,0.342857,conditional
L4,office_bearing_status,210,210,142,68,0.676190,conditional
L4,exact_office,210,210,80,130,0.380952,conditional
L4,office_plus_two_mod_7,210,112,8,104,0.071429,conditional
R5,rooted_weight_seven,210,210,210,0,1.000000,invariant_or_covariant
